T	p_1	p_2	p_3	p_4	p_5	p_6	p_7	p_8	p_9	p_10
10	0.140170	0.146039	0.146281	0.138095	0.149210	0.144956	0.146194	0.140294	0.145139	0.138241
20	0.141996	0.142550	0.143049	0.146542	0.143735	0.145831	0.141622	0.139296	0.149835	0.136155
30	0.146139	0.149492	0.146015	0.144162	0.137485	0.145563	0.143527	0.137785	0.138572	0.141976
40	0.142730	0.143549	0.145185	0.145031	0.142406	0.146772	0.145570	0.144632	0.146807	0.140554
50	0.149788	0.145111	0.142820	0.142483	0.141155	0.144767	0.142061	0.139819	0.149372	0.142409
60	0.143624	0.137964	0.141092	0.145517	0.144363	0.145371	0.144824	0.148203	0.143530	0.147172
70	0.140833	0.146811	0.148367	0.140429	0.144353	0.142701	0.145574	0.143532	0.141729	0.143013
80	0.152778	0.142970	0.139078	0.141254	0.140276	0.135228	0.143959	0.144663	0.143890	0.140815
90	0.143970	0.143725	0.145205	0.142734	0.139998	0.142335	0.139711	0.142655	0.144568	0.140633
100	0.147347	0.145492	0.141793	0.145109	0.145639	0.143578	0.148105	0.139977	0.143226	0.139756
110	0.148020	0.141177	0.139270	0.137134	0.146219	0.141151	0.145171	0.145972	0.142591	0.149956
120	0.142893	0.140724	0.142732	0.143874	0.144604	0.142837	0.140741	0.144975	0.140479	0.144425
130	0.146088	0.146077	0.140372	0.142432	0.139898	0.144427	0.147009	0.141202	0.145010	0.144771
140	0.146416	0.143182	0.141962	0.150252	0.142783	0.144370	0.144507	0.139953	0.141537	0.148392
150	0.145677	0.149256	0.144363	0.136022	0.142736	0.136390	0.145561	0.138150	0.141187	0.148971
160	0.148394	0.144312	0.152890	0.143424	0.142733	0.147676	0.147143	0.136612	0.140689	0.148854
170	0.143888	0.135595	0.142241	0.150740	0.141346	0.139986	0.148105	0.148969	0.142022	0.146850
180	0.142273	0.143487	0.146330	0.147638	0.148780	0.152443	0.149095	0.139195	0.148002	0.151694
190	0.150724	0.141956	0.143704	0.150484	0.139072	0.142193	0.146896	0.145988	0.143810	0.148639
200	0.144468	0.144608	0.148025	0.142321	0.143279	0.144448	0.140056	0.142089	0.144316	0.140968
210	0.154286	0.138667	0.143948	0.139905	0.146075	0.150929	0.148882	0.144105	0.142504	0.143225
220	0.137619	0.139845	0.144373	0.139844	0.142070	0.139812	0.141016	0.149955	0.150375	0.145675
230	0.146924	0.143953	0.144126	0.146189	0.148207	0.145800	0.148650	0.141937	0.140039	0.132920
240	0.143772	0.142107	0.141792	0.140085	0.135155	0.144970	0.146964	0.139499	0.142320	0.134036
250	0.141984	0.139761	0.144049	0.134084	0.140509	0.140337	0.147377	0.147447	0.142365	0.136006
260	0.148456	0.140926	0.137194	0.145159	0.144575	0.139276	0.147720	0.143660	0.147467	0.136593
270	0.133108	0.145259	0.134952	0.138547	0.141542	0.139375	0.142864	0.143262	0.150490	0.133709
280	0.136992	0.146223	0.133161	0.140648	0.140941	0.134152	0.142622	0.142684	0.144975	0.137267
290	0.133043	0.148586	0.130272	0.136730	0.141440	0.130554	0.138567	0.150079	0.140529	0.128686
300	0.138159	0.140037	0.129864	0.139379	0.144527	0.130630	0.136603	0.141130	0.133497	0.135205
310	0.134907	0.143466	0.132680	0.134331	0.140565	0.124791	0.130162	0.138220	0.146230	0.124758
320	0.130871	0.139775	0.127989	0.128997	0.137243	0.121765	0.135828	0.138134	0.138375	0.131089
330	0.131329	0.143507	0.121362	0.134273	0.132004	0.125900	0.129354	0.138832	0.138836	0.125015
340	0.127925	0.139609	0.130314	0.128619	0.137415	0.125301	0.134367	0.141091	0.135515	0.128871
350	0.129224	0.138423	0.127126	0.135512	0.137655	0.119600	0.129316	0.139786	0.139524	0.130014
360	0.124994	0.139220	0.132043	0.125862	0.130613	0.120342	0.126609	0.136316	0.134500	0.124793
370	0.128506	0.138955	0.126616	0.127555	0.130453	0.119935	0.134077	0.142046	0.135115	0.125563
380	0.124128	0.129791	0.130329	0.127703	0.127202	0.117639	0.127864	0.135855	0.141344	0.124873
390	0.121713	0.135497	0.123419	0.127866	0.127156	0.115138	0.129302	0.139129	0.131982	0.131242
400	0.121879	0.131302	0.122916	0.132251	0.130808	0.111465	0.127806	0.138263	0.134649	0.128777
410	0.121497	0.128532	0.126912	0.129251	0.130560	0.115554	0.121347	0.129418	0.128247	0.125696
420	0.123417	0.129640	0.121048	0.126395	0.123992	0.118625	0.126260	0.131142	0.127528	0.121638
430	0.122866	0.124787	0.123804	0.132362	0.118966	0.108227	0.123497	0.131146	0.130790	0.117373
440	0.120463	0.126244	0.125287	0.126616	0.123662	0.117992	0.126919	0.129987	0.123803	0.118084
450	0.119339	0.122864	0.125971	0.124667	0.131147	0.115471	0.125515	0.124972	0.127182	0.122352
460	0.120798	0.124169	0.118531	0.128054	0.126156	0.111547	0.119768	0.127401	0.120317	0.125950
470	0.121637	0.117723	0.122505	0.129705	0.132695	0.118717	0.123119	0.124518	0.126161	0.120486
