T	p_1	p_2	p_3	p_4	p_5	p_6	p_7	p_8	p_9	p_10
10	0.494804	0.503797	0.505196	0.508893	0.498102	0.503597	0.498401	0.500699	0.494105	0.504696
20	0.498102	0.510991	0.501898	0.499201	0.490508	0.499500	0.496902	0.504596	0.500500	0.501599
30	0.492806	0.498301	0.490608	0.499301	0.503697	0.506695	0.500100	0.504796	0.496303	0.504197
40	0.494704	0.498601	0.496403	0.490907	0.498102	0.499800	0.496902	0.502598	0.495204	0.498401
50	0.502398	0.503098	0.491207	0.502598	0.500200	0.504197	0.501299	0.500500	0.504696	0.498301
60	0.502298	0.497402	0.499001	0.499800	0.504197	0.500899	0.495803	0.501699	0.486811	0.493006
70	0.485612	0.506195	0.486611	0.489009	0.491607	0.498301	0.500400	0.497402	0.491107	0.496303
80	0.498801	0.499001	0.484512	0.496303	0.508493	0.489808	0.499201	0.503797	0.498002	0.494604
90	0.489708	0.503098	0.491906	0.486711	0.495903	0.497302	0.494504	0.506395	0.499500	0.487210
100	0.484812	0.491906	0.484912	0.486711	0.489708	0.494804	0.488509	0.489708	0.498301	0.498901
110	0.479217	0.494804	0.475620	0.492806	0.488309	0.488409	0.491807	0.491307	0.499101	0.472222
120	0.477318	0.487910	0.469424	0.471723	0.494404	0.484013	0.488110	0.491407	0.497402	0.466727
130	0.472622	0.498201	0.465927	0.469524	0.479317	0.478817	0.495304	0.498201	0.491507	0.449940
140	0.461231	0.486511	0.455336	0.472022	0.476819	0.478817	0.487710	0.489009	0.490408	0.453237
150	0.451938	0.488909	0.443445	0.455236	0.474820	0.466027	0.483313	0.483014	0.485312	0.426659
160	0.449640	0.495104	0.432754	0.439848	0.464628	0.460532	0.478617	0.474620	0.493705	0.407474
170	0.445743	0.487910	0.419664	0.437750	0.458533	0.437950	0.471023	0.482914	0.476819	0.399780
180	0.434452	0.476319	0.402378	0.428357	0.447042	0.432054	0.466527	0.479616	0.489009	0.383293
190	0.427058	0.476419	0.396083	0.414369	0.434452	0.409772	0.446043	0.458733	0.477418	0.379396
200	0.413169	0.470624	0.376199	0.392986	0.430955	0.382994	0.443745	0.453537	0.471323	0.356115
210	0.392586	0.469125	0.364608	0.389888	0.426859	0.369205	0.434952	0.454736	0.467726	0.336731
220	0.385292	0.456035	0.344424	0.377398	0.410272	0.345324	0.419065	0.445044	0.459033	0.329836
230	0.355616	0.455735	0.331735	0.364608	0.406575	0.328237	0.393685	0.436751	0.446743	0.306155
240	0.337930	0.446043	0.326639	0.349420	0.387690	0.316747	0.378797	0.420464	0.437350	0.299560
250	0.323841	0.429556	0.300560	0.331435	0.379396	0.295863	0.378098	0.413569	0.430755	0.283673
260	0.318245	0.419165	0.284173	0.336831	0.363010	0.276479	0.355216	0.396383	0.406075	0.281475
270	0.298261	0.416767	0.282574	0.314748	0.341926	0.254896	0.327738	0.384392	0.390787	0.281675
280	0.284972	0.397682	0.266587	0.315747	0.337630	0.258293	0.325140	0.370504	0.378397	0.266787
290	0.273581	0.379297	0.272782	0.302458	0.320643	0.236311	0.306755	0.367506	0.362210	0.263090
300	0.271083	0.373701	0.262590	0.302558	0.317946	0.230616	0.292766	0.359912	0.351419	0.260891
310	0.255695	0.355516	0.255296	0.291767	0.307054	0.222622	0.280775	0.348421	0.342926	0.249700
320	0.246403	0.342226	0.250699	0.289668	0.296763	0.207934	0.274480	0.334632	0.334632	0.247602
330	0.232414	0.324840	0.251499	0.274880	0.285671	0.211431	0.271383	0.323341	0.312550	0.234113
340	0.222322	0.313749	0.249700	0.269285	0.281075	0.201739	0.262690	0.308653	0.315048	0.227118
350	0.225020	0.290767	0.243905	0.266886	0.279576	0.192346	0.258693	0.297862	0.295064	0.229317
360	0.210232	0.279576	0.240608	0.265488	0.269285	0.195643	0.251299	0.295264	0.287070	0.230016
370	0.204636	0.273781	0.239608	0.265088	0.266986	0.184353	0.257994	0.293066	0.286970	0.223421
380	0.203937	0.265887	0.245404	0.265488	0.269384	0.178557	0.236811	0.289468	0.276379	0.227918
390	0.198541	0.252498	0.233713	0.253897	0.245404	0.176159	0.239009	0.273281	0.275080	0.215627
400	0.199840	0.250200	0.231815	0.260791	0.243205	0.175160	0.233014	0.270184	0.273481	0.218026
410	0.194245	0.234912	0.230016	0.255096	0.242206	0.171063	0.227518	0.268685	0.269384	0.211631
