T	p_1	p_2	p_3	p_4	p_5	p_6	p_7	p_8	p_9	p_10
10	0.000344	0.000369	0.000312	0.000247	0.000435	0.000486	0.000312	0.000530	0.000397	0.000493
20	0.000802	0.000695	0.000872	0.000870	0.000714	0.000929	0.000753	0.000614	0.000919	0.001088
30	0.001192	0.000840	0.000984	0.001231	0.000888	0.001447	0.001007	0.000931	0.001614	0.001529
40	0.001246	0.001271	0.001378	0.001135	0.000977	0.001471	0.001302	0.001018	0.002162	0.001781
50	0.001565	0.001517	0.001680	0.002163	0.001091	0.001741	0.001784	0.001591	0.002516	0.001978
60	0.001784	0.002024	0.002904	0.002185	0.001566	0.002082	0.002192	0.001878	0.002783	0.002423
70	0.002086	0.002032	0.003275	0.002526	0.002834	0.003213	0.002301	0.002166	0.003640	0.002761
80	0.002558	0.002473	0.003659	0.002616	0.003661	0.003742	0.002223	0.002510	0.003519	0.003001
90	0.003261	0.001942	0.003879	0.002084	0.003998	0.004207	0.003029	0.002510	0.003685	0.003186
100	0.003484	0.002803	0.004220	0.002579	0.004478	0.004766	0.003306	0.002875	0.003776	0.003493
110	0.004217	0.003309	0.004813	0.003132	0.005915	0.005790	0.004464	0.003033	0.004234	0.003472
120	0.004950	0.003841	0.005908	0.003158	0.006586	0.007403	0.004919	0.003637	0.004553	0.003105
130	0.005090	0.004837	0.006849	0.003719	0.007377	0.008140	0.006076	0.003201	0.005287	0.003328
140	0.005103	0.006027	0.006377	0.004153	0.007202	0.008106	0.005751	0.003935	0.006730	0.002764
150	0.005578	0.006550	0.005895	0.004858	0.007226	0.007300	0.005967	0.003935	0.007023	0.002873
160	0.006226	0.007569	0.006395	0.005032	0.008136	0.007293	0.006522	0.003885	0.007653	0.002984
170	0.006676	0.008490	0.005935	0.005078	0.007612	0.007357	0.008141	0.003632	0.007917	0.003479
180	0.005882	0.009605	0.005457	0.005210	0.007930	0.008396	0.008454	0.003507	0.009378	0.002820
190	0.007334	0.010280	0.005110	0.005737	0.008032	0.007740	0.008408	0.004250	0.008696	0.002449
200	0.007755	0.009674	0.004607	0.005891	0.007585	0.007374	0.008634	0.004961	0.009379	0.002601
210	0.009172	0.010213	0.004415	0.005739	0.008244	0.007082	0.009529	0.005577	0.009979	0.002401
220	0.008160	0.010985	0.004163	0.006640	0.008189	0.006192	0.008671	0.004689	0.009907	0.002261
230	0.008663	0.012053	0.004277	0.006668	0.007776	0.006674	0.007226	0.003957	0.010764	0.002434
240	0.008311	0.012003	0.003953	0.006432	0.007279	0.006623	0.007581	0.003413	0.009796	0.002257
250	0.007551	0.011787	0.003600	0.006016	0.006947	0.005732	0.006901	0.003146	0.009939	0.002276
260	0.007257	0.011527	0.002978	0.005632	0.005120	0.004431	0.006797	0.002854	0.009073	0.002476
270	0.006730	0.011663	0.002288	0.005730	0.004317	0.004809	0.005184	0.003100	0.010048	0.002732
280	0.005656	0.012079	0.002049	0.005157	0.003805	0.004958	0.004745	0.003684	0.008981	0.002270
290	0.005309	0.011709	0.001869	0.005169	0.004380	0.004267	0.004757	0.003577	0.008349	0.002405
300	0.006034	0.009302	0.002002	0.005036	0.003309	0.003505	0.004512	0.003734	0.006980	0.002462
310	0.005629	0.008363	0.002402	0.004921	0.003292	0.002840	0.003824	0.004176	0.006399	0.002415
320	0.006239	0.006659	0.002460	0.004442	0.002669	0.002251	0.003755	0.003698	0.006630	0.003055
330	0.006647	0.005293	0.002776	0.004586	0.002560	0.002534	0.003638	0.003959	0.005979	0.002793
340	0.005448	0.004633	0.002799	0.004748	0.002403	0.002160	0.003543	0.003736	0.004880	0.003170
350	0.005091	0.003555	0.003286	0.004724	0.002796	0.002144	0.003371	0.003845	0.004997	0.003227
360	0.005121	0.002671	0.003323	0.005601	0.002614	0.002416	0.003491	0.003698	0.004238	0.003297
370	0.006040	0.002184	0.003842	0.006112	0.002075	0.002295	0.002751	0.002869	0.003890	0.003344
380	0.005427	0.001584	0.004059	0.005349	0.002388	0.002749	0.002779	0.002416	0.004363	0.003409
390	0.006182	0.002048	0.003846	0.005480	0.002094	0.003175	0.002882	0.002173	0.004648	0.004144
400	0.006415	0.002179	0.003780	0.005244	0.001955	0.003551	0.002571	0.001951	0.004542	0.003708
410	0.006714	0.001932	0.003880	0.005081	0.002141	0.003543	0.002245	0.002036	0.004721	0.004272
420	0.006874	0.001886	0.003811	0.004681	0.001596	0.004151	0.002442	0.002382	0.003763	0.003290
430	0.006741	0.002269	0.003707	0.004511	0.001618	0.004188	0.002654	0.002012	0.004112	0.002890
440	0.006936	0.002623	0.003670	0.003897	0.001626	0.003662	0.002879	0.002805	0.003946	0.003210
450	0.006379	0.002627	0.003396	0.003955	0.001959	0.003741	0.003210	0.002892	0.004235	0.003047
460	0.007384	0.003093	0.002788	0.003552	0.001799	0.003623	0.003029	0.003760	0.004051	0.002702
470	0.007162	0.003397	0.002386	0.003075	0.001984	0.004136	0.003388	0.004139	0.003942	0.002844
480	0.007823	0.003681	0.002775	0.002925	0.002575	0.004271	0.002719	0.003801	0.004287	0.003162
490	0.009322	0.003673	0.003060	0.003582	0.002903	0.003754	0.003050	0.004144	0.004896	0.003236
500	0.009122	0.003159	0.003360	0.004441	0.003826	0.003991	0.002681	0.004219	0.005041	0.002589
510	0.009695	0.002841	0.003949	0.003855	0.003184	0.003555	0.002702	0.003828	0.005291	0.002440
520	0.010034	0.002267	0.003354	0.003356	0.003468	0.003494	0.002757	0.003619	0.005020	0.002325
530	0.010062	0.002172	0.003101	0.003484	0.003310	0.003994	0.002688	0.003598	0.004519	0.002732
540	0.011269	0.001814	0.002601	0.003764	0.003192	0.003579	0.002772	0.004389	0.003847	0.003095
550	0.010354	0.002217	0.001959	0.003071	0.003049	0.004392	0.002344	0.003841	0.004118	0.003706
560	0.009715	0.002395	0.001464	0.003799	0.002776	0.004550	0.002938	0.003672	0.004193	0.003737
570	0.009710	0.002941	0.001563	0.003415	0.002881	0.004679	0.003240	0.003789	0.004251	0.003410
580	0.009955	0.003742	0.001731	0.002844	0.003017	0.004800	0.003329	0.003620	0.003809	0.003711
590	0.009786	0.003230	0.002309	0.003240	0.003393	0.005155	0.003734	0.004327	0.003495	0.003974
600	0.010299	0.004094	0.002493	0.003777	0.003539	0.004529	0.003680	0.004237	0.003302	0.004294
610	0.011469	0.003949	0.002494	0.004931	0.004017	0.003746	0.003602	0.004586	0.003878	0.004275
620	0.012699	0.004143	0.002622	0.005995	0.005576	0.003439	0.003291	0.004793	0.004283	0.005120
630	0.012937	0.004301	0.003093	0.005271	0.006333	0.003229	0.003663	0.004724	0.003638	0.005381
640	0.012810	0.004254	0.003274	0.005251	0.006216	0.003639	0.003908	0.005243	0.003638	0.004800
650	0.013778	0.004229	0.003212	0.006071	0.005901	0.003869	0.004151	0.004880	0.003706	0.004345
660	0.014424	0.003836	0.003047	0.007622	0.005555	0.003497	0.004636	0.004525	0.004250	0.003990
670	0.016556	0.004464	0.003157	0.009200	0.005318	0.003016	0.005426	0.004671	0.004836	0.004544
680	0.016925	0.004739	0.003288	0.009169	0.004755	0.002957	0.004475	0.004497	0.004965	0.005021
690	0.015083	0.003203	0.003411	0.007703	0.004079	0.002962	0.004667	0.004331	0.004467	0.005058
700	0.015767	0.003185	0.003031	0.007950	0.003814	0.003488	0.005291	0.004149	0.004648	0.004481
710	0.016469	0.003029	0.003021	0.007475	0.003710	0.003708	0.004437	0.004670	0.004113	0.004500
720	0.016204	0.002819	0.003157	0.008520	0.003748	0.004075	0.004016	0.004473	0.004207	0.004361
730	0.015240	0.004317	0.003356	0.007821	0.004203	0.003809	0.004823	0.004349	0.004870	0.003767
740	0.014458	0.005508	0.003334	0.009630	0.004871	0.003936	0.004386	0.005059	0.005037	0.003241
750	0.012610	0.005076	0.003040	0.010474	0.003846	0.003583	0.004770	0.004780	0.005176	0.004097
760	0.011047	0.004542	0.002726	0.010764	0.003905	0.003991	0.004993	0.004192	0.004888	0.004080
770	0.010869	0.004553	0.002637	0.010332	0.003963	0.003468	0.004520	0.003656	0.004380	0.004369
780	0.011672	0.003787	0.002926	0.008833	0.004191	0.003645	0.004454	0.002873	0.005191	0.004482
790	0.014059	0.003910	0.003435	0.009593	0.004270	0.004278	0.004714	0.002737	0.003803	0.004401
800	0.014219	0.004044	0.003504	0.010498	0.004354	0.004096	0.004935	0.002691	0.004165	0.003782
