T	p_1	p_2	p_3	p_4	p_5	p_6	p_7	p_8	p_9	p_10
10	0.999438	0.999734	0.999427	0.999565	0.999477	0.999621	0.999693	0.999772	0.999731	0.999690
20	0.999074	0.998918	0.999210	0.999096	0.999084	0.999261	0.999228	0.999266	0.999387	0.999371
30	0.998868	0.998313	0.998561	0.998641	0.998638	0.999168	0.998352	0.999205	0.998815	0.999131
40	0.998574	0.998063	0.998376	0.998154	0.998504	0.998709	0.997999	0.998869	0.998250	0.998999
50	0.998544	0.997967	0.998099	0.997907	0.997623	0.997958	0.997785	0.998194	0.997925	0.998421
60	0.998335	0.997648	0.998437	0.997503	0.997716	0.997326	0.996931	0.997385	0.997265	0.997669
70	0.997875	0.997532	0.998381	0.996419	0.996611	0.996915	0.996508	0.996379	0.996416	0.997157
80	0.997028	0.997377	0.997965	0.995784	0.996369	0.997214	0.996052	0.995493	0.995520	0.997403
90	0.996749	0.997330	0.998199	0.996113	0.997137	0.997981	0.997132	0.996335	0.995294	0.997323
100	0.997191	0.997189	0.998516	0.997366	0.997526	0.998583	0.997388	0.996726	0.996321	0.997564
110	0.997072	0.996851	0.998768	0.997471	0.996915	0.997983	0.997304	0.996644	0.997186	0.997417
120	0.997189	0.996284	0.998672	0.996616	0.995530	0.997895	0.997682	0.995823	0.996914	0.996516
130	0.997279	0.996016	0.998063	0.996400	0.994407	0.998049	0.997915	0.995041	0.996753	0.997576
140	0.997020	0.996023	0.998040	0.996133	0.992239	0.997425	0.998093	0.994735	0.996037	0.998204
150	0.996595	0.996708	0.997843	0.995116	0.991517	0.997370	0.997312	0.996158	0.994560	0.998057
160	0.996126	0.997736	0.997805	0.994969	0.989722	0.997704	0.996565	0.996317	0.993693	0.997395
170	0.996169	0.997096	0.997771	0.994747	0.988394	0.998059	0.996607	0.997691	0.992819	0.997396
180	0.996486	0.996560	0.998473	0.994927	0.989815	0.998289	0.996845	0.998174	0.994507	0.996530
190	0.996987	0.995620	0.998859	0.994102	0.989593	0.998649	0.997298	0.997844	0.996287	0.995060
200	0.996390	0.994587	0.999353	0.994168	0.991155	0.998376	0.997784	0.997546	0.996840	0.993570
210	0.996413	0.992867	0.999004	0.995921	0.993365	0.998253	0.997933	0.997506	0.997840	0.991756
220	0.996405	0.991336	0.999182	0.997432	0.996491	0.998095	0.997926	0.996991	0.997980	0.989043
230	0.996170	0.989322	0.999294	0.998059	0.996559	0.997670	0.997738	0.996334	0.998121	0.987612
240	0.996065	0.989169	0.999080	0.998384	0.995965	0.996858	0.997340	0.995670	0.998055	0.986011
250	0.995779	0.989695	0.998762	0.998492	0.995756	0.996317	0.996991	0.995427	0.998154	0.985614
260	0.995383	0.991214	0.998433	0.998642	0.995048	0.996269	0.996348	0.996006	0.998365	0.983314
270	0.994635	0.994181	0.998104	0.998208	0.993928	0.996628	0.997046	0.996214	0.997514	0.984260
280	0.994363	0.995227	0.997766	0.998332	0.992404	0.996819	0.997727	0.996851	0.997197	0.986098
290	0.995181	0.995947	0.997523	0.998069	0.991861	0.996677	0.997523	0.996883	0.996830	0.989534
300	0.995521	0.994795	0.997073	0.997586	0.991435	0.996191	0.997973	0.996921	0.996721	0.992672
310	0.995149	0.994684	0.997073	0.997307	0.990389	0.995802	0.997690	0.997203	0.995776	0.994682
320	0.994949	0.994486	0.997116	0.997172	0.991834	0.994648	0.997514	0.996834	0.995620	0.994715
330	0.995794	0.992985	0.996767	0.996273	0.994319	0.994719	0.997202	0.996867	0.996591	0.994717
340	0.994642	0.992130	0.996413	0.995473	0.996433	0.995097	0.996650	0.996457	0.996940	0.992831
350	0.993540	0.991425	0.995950	0.994703	0.997649	0.994022	0.996113	0.996518	0.997360	0.991124
360	0.993199	0.992095	0.995301	0.993714	0.997724	0.994545	0.995093	0.995603	0.996935	0.991619
370	0.992380	0.992551	0.994616	0.993842	0.997900	0.995342	0.994812	0.995865	0.996888	0.989956
380	0.991144	0.993234	0.995060	0.992908	0.997494	0.995638	0.995027	0.996154	0.997243	0.988637
390	0.991531	0.993588	0.995233	0.991975	0.997419	0.995587	0.994367	0.996386	0.997211	0.987355
400	0.991023	0.993279	0.994861	0.991758	0.996787	0.995580	0.994213	0.996956	0.996983	0.988083
410	0.990496	0.993877	0.995371	0.991508	0.996692	0.996140	0.995305	0.996014	0.996218	0.988022
420	0.990393	0.994731	0.995213	0.991037	0.996197	0.996150	0.994982	0.995713	0.995836	0.987575
430	0.989655	0.995307	0.994889	0.990520	0.995754	0.996590	0.995477	0.995539	0.994357	0.989457
440	0.989231	0.995218	0.994811	0.989907	0.996249	0.996814	0.996216	0.996287	0.993319	0.990168
450	0.987897	0.995744	0.995728	0.989973	0.996201	0.996572	0.995912	0.995065	0.992735	0.991294
460	0.986728	0.995069	0.995803	0.989509	0.996086	0.996441	0.995965	0.994559	0.992435	0.992021
470	0.985328	0.994998	0.995298	0.989077	0.995942	0.996320	0.996113	0.994678	0.992858	0.992773
480	0.984693	0.995033	0.995593	0.989386	0.996502	0.995503	0.996345	0.994756	0.992650	0.994158
490	0.983064	0.995229	0.995867	0.989696	0.995921	0.994892	0.996230	0.994542	0.993092	0.994077
500	0.983825	0.994768	0.996044	0.990515	0.995480	0.994909	0.996001	0.994337	0.993095	0.993847
510	0.983306	0.994122	0.995015	0.990386	0.995153	0.995248	0.995852	0.993279	0.992711	0.993993
520	0.984426	0.994386	0.994679	0.990905	0.995543	0.995316	0.995218	0.993406	0.992864	0.993929
530	0.984120	0.995128	0.994550	0.990939	0.995521	0.995355	0.995344	0.992526	0.993316	0.994409
540	0.984360	0.994947	0.993637	0.991225	0.995881	0.995590	0.995429	0.991849	0.991923	0.993826
550	0.983420	0.994588	0.993300	0.990697	0.995971	0.995594	0.995514	0.991722	0.991437	0.992715
560	0.982197	0.994916	0.993745	0.990754	0.996423	0.995406	0.995654	0.992158	0.991256	0.992781
570	0.981500	0.995131	0.994499	0.991001	0.996802	0.995931	0.994864	0.992840	0.990187	0.992654
580	0.980117	0.995201	0.994034	0.990215	0.997230	0.995713	0.994903	0.993664	0.990503	0.992629
590	0.979983	0.995303	0.992699	0.989768	0.997003	0.994785	0.995261	0.993456	0.990110	0.991078
600	0.979735	0.995006	0.992858	0.989966	0.996677	0.994790	0.995181	0.993256	0.988569	0.990741
610	0.979952	0.994569	0.993278	0.989175	0.996225	0.994637	0.994931	0.991504	0.986664	0.991190
620	0.981641	0.994166	0.994594	0.987837	0.995989	0.995167	0.994354	0.991529	0.986876	0.990396
630	0.981258	0.993785	0.994390	0.987491	0.996533	0.995188	0.994317	0.991225	0.986081	0.989788
640	0.980146	0.993780	0.993441	0.988835	0.995987	0.995232	0.994459	0.991894	0.985208	0.987868
650	0.981283	0.993334	0.993106	0.988750	0.995887	0.994612	0.993460	0.990612	0.983968	0.988708
660	0.981003	0.993336	0.992488	0.988919	0.995627	0.994418	0.992973	0.990240	0.981515	0.989000
670	0.980761	0.993357	0.991691	0.988588	0.995390	0.993837	0.991931	0.989900	0.980835	0.988566
680	0.979036	0.992788	0.991090	0.989245	0.995276	0.993166	0.990150	0.989602	0.979925	0.987392
690	0.976140	0.992308	0.990856	0.989282	0.994666	0.993044	0.988724	0.988731	0.980813	0.986761
700	0.976498	0.991893	0.990663	0.989791	0.994703	0.993462	0.989262	0.988169	0.981202	0.986999
710	0.977579	0.992418	0.990583	0.989863	0.994577	0.992474	0.989466	0.988638	0.981771	0.987002
720	0.976183	0.991426	0.989364	0.989839	0.994332	0.991885	0.989698	0.988581	0.980643	0.987069
730	0.976363	0.991260	0.990236	0.990063	0.993911	0.992337	0.989254	0.988302	0.980669	0.986629
740	0.975655	0.991716	0.989625	0.990257	0.994906	0.992569	0.988174	0.987922	0.981531	0.986091
750	0.975177	0.990845	0.988594	0.989619	0.994561	0.992857	0.987137	0.986642	0.981261	0.984331
760	0.976713	0.991176	0.987782	0.989234	0.994146	0.992480	0.985993	0.987239	0.982080	0.984857
770	0.975691	0.990721	0.989532	0.988232	0.993678	0.991190	0.986654	0.986776	0.981724	0.983149
780	0.975617	0.990682	0.990009	0.988558	0.994226	0.990477	0.985415	0.987487	0.981309	0.982210
790	0.974010	0.990317	0.989373	0.987685	0.994735	0.991326	0.986114	0.987594	0.980333	0.981959
800	0.974607	0.990523	0.989520	0.986870	0.994028	0.991658	0.985800	0.987332	0.980942	0.982873
810	0.974067	0.991089	0.989374	0.987647	0.993707	0.991224	0.985658	0.988897	0.980321	0.982558
820	0.974783	0.990295	0.989937	0.986133	0.993832	0.991273	0.985796	0.989967	0.980371	0.984315
830	0.975659	0.990123	0.990115	0.985149	0.992815	0.991139	0.985543	0.991202	0.980985	0.984946
840	0.976235	0.988886	0.990502	0.984527	0.992850	0.991166	0.985331	0.990893	0.979774	0.984937
850	0.977630	0.988395	0.990007	0.983962	0.992263	0.991361	0.985910	0.990079	0.978667	0.985178
860	0.978751	0.987825	0.989193	0.984460	0.991755	0.991338	0.984181	0.989295	0.979769	0.986087
870	0.977542	0.989248	0.988429	0.982852	0.991732	0.990617	0.982759	0.988530	0.979409	0.985366
880	0.976457	0.988498	0.987977	0.982291	0.991638	0.990455	0.982644	0.990104	0.978117	0.985180
