T	p_1	p_2	p_3	p_4	p_5	p_6	p_7	p_8	p_9	p_10
10	0.500280	0.500176	0.500049	0.500012	0.499377	0.500282	0.500123	0.500358	0.500057	0.499658
20	0.500404	0.499549	0.500127	0.499631	0.498858	0.500702	0.500412	0.500181	0.499911	0.499101
30	0.499924	0.498997	0.499532	0.499660	0.499156	0.500924	0.499962	0.500136	0.499610	0.498595
40	0.499254	0.499857	0.500286	0.500194	0.499102	0.500321	0.499370	0.500270	0.499102	0.497673
50	0.497586	0.499293	0.499680	0.500659	0.498495	0.499665	0.497924	0.498384	0.498973	0.498051
60	0.497676	0.499657	0.498388	0.500299	0.498101	0.499433	0.497952	0.497282	0.498878	0.497901
70	0.496565	0.499186	0.500650	0.500383	0.498298	0.497730	0.498115	0.497963	0.499408	0.498056
80	0.496524	0.497206	0.500665	0.499757	0.497618	0.496302	0.497892	0.498366	0.497905	0.497701
90	0.495336	0.497802	0.499430	0.499610	0.497210	0.494563	0.496387	0.498105	0.496835	0.496952
100	0.495762	0.498338	0.500069	0.496928	0.496576	0.491511	0.497331	0.498162	0.497219	0.494536
110	0.494048	0.498762	0.500019	0.494195	0.497577	0.489458	0.494104	0.499002	0.495700	0.491855
120	0.491017	0.497295	0.497912	0.492890	0.495939	0.490658	0.493099	0.498247	0.495154	0.490602
130	0.490507	0.496685	0.497201	0.493271	0.495796	0.489108	0.492149	0.497490	0.495414	0.487554
140	0.489477	0.496995	0.495029	0.490475	0.496186	0.489030	0.492405	0.495425	0.494622	0.482796
150	0.485110	0.496981	0.495487	0.490949	0.494246	0.486444	0.492526	0.494435	0.493133	0.477464
160	0.484906	0.496523	0.494716	0.490269	0.493725	0.482288	0.493458	0.493460	0.491035	0.474603
170	0.484175	0.496731	0.492144	0.488569	0.492410	0.482264	0.493354	0.491847	0.489498	0.471229
180	0.483848	0.493471	0.487933	0.486672	0.491555	0.481801	0.490440	0.489769	0.488760	0.467023
190	0.481646	0.491966	0.486105	0.484090	0.489998	0.480643	0.487862	0.485955	0.488661	0.460903
200	0.481729	0.490001	0.480811	0.482961	0.487459	0.476586	0.485372	0.484898	0.488288	0.449470
210	0.478857	0.489460	0.480559	0.480847	0.486802	0.475666	0.485082	0.480830	0.486743	0.446544
220	0.472296	0.486569	0.477037	0.475995	0.484148	0.471080	0.482996	0.477456	0.483423	0.442569
230	0.472044	0.482873	0.475097	0.471596	0.482131	0.464416	0.479508	0.476787	0.480876	0.437809
240	0.468541	0.481503	0.475627	0.469467	0.478374	0.460184	0.475876	0.476809	0.481652	0.433733
250	0.467504	0.478377	0.471824	0.466186	0.475540	0.459558	0.476296	0.473352	0.478357	0.431891
260	0.465810	0.477049	0.469714	0.461178	0.474778	0.453928	0.469998	0.468801	0.476493	0.423174
270	0.462391	0.476190	0.466134	0.456027	0.469029	0.446541	0.465933	0.466763	0.476235	0.414628
280	0.456945	0.474820	0.459199	0.451592	0.465923	0.446694	0.464992	0.465145	0.476312	0.407303
290	0.456049	0.470602	0.459424	0.450964	0.466687	0.446632	0.457867	0.460934	0.475927	0.403765
300	0.453715	0.468645	0.456572	0.445382	0.461941	0.443774	0.456896	0.460890	0.475250	0.400109
310	0.451460	0.468585	0.453948	0.445406	0.459585	0.439686	0.450277	0.454754	0.472426	0.397931
320	0.444200	0.463142	0.454266	0.439938	0.455068	0.441458	0.448185	0.453859	0.468603	0.391748
330	0.439976	0.459808	0.453987	0.434936	0.450830	0.433414	0.443026	0.451108	0.466327	0.388136
340	0.433386	0.456497	0.452152	0.432298	0.447133	0.427855	0.440837	0.447146	0.462559	0.388203
350	0.428091	0.454385	0.447651	0.431377	0.443481	0.423464	0.436550	0.444062	0.461860	0.379591
360	0.426828	0.453915	0.443285	0.425258	0.446688	0.420091	0.435162	0.441819	0.459004	0.374207
370	0.422494	0.450713	0.441924	0.421064	0.438610	0.414116	0.431110	0.439916	0.456096	0.372803
380	0.415872	0.448411	0.437296	0.413346	0.434958	0.405748	0.430047	0.439018	0.452844	0.365298
390	0.411333	0.446475	0.437393	0.405207	0.433370	0.403023	0.424301	0.434616	0.449046	0.359456
400	0.407173	0.441949	0.431977	0.401708	0.428171	0.401986	0.425409	0.434315	0.444429	0.348715
410	0.400453	0.439347	0.428533	0.393914	0.424628	0.401490	0.417855	0.430114	0.442430	0.347743
420	0.396440	0.433663	0.425048	0.384801	0.417422	0.399523	0.411528	0.428974	0.438825	0.344666
430	0.387602	0.431760	0.422063	0.375684	0.408356	0.399469	0.403955	0.425623	0.437456	0.340887
440	0.381056	0.428803	0.418583	0.369092	0.407473	0.392960	0.399292	0.423834	0.432454	0.338246
450	0.373696	0.426285	0.415980	0.364166	0.400000	0.378873	0.392249	0.423703	0.427938	0.334743
460	0.367863	0.422439	0.414691	0.363445	0.397102	0.377316	0.386899	0.420032	0.431091	0.330486
470	0.366768	0.418606	0.408282	0.359681	0.392007	0.372723	0.383143	0.418453	0.435094	0.329140
480	0.360981	0.415563	0.402788	0.357104	0.386699	0.370254	0.378869	0.412143	0.434440	0.323984
490	0.359545	0.414643	0.395434	0.356063	0.384269	0.366038	0.380407	0.410977	0.429398	0.319020
500	0.356996	0.412185	0.392124	0.352612	0.378116	0.359560	0.377357	0.406970	0.426680	0.314598
510	0.355777	0.411109	0.394263	0.348450	0.367793	0.357249	0.372047	0.405351	0.421600	0.311502
520	0.358867	0.410812	0.391236	0.346072	0.364950	0.353445	0.366123	0.398850	0.419058	0.308844
530	0.355800	0.409340	0.388342	0.347471	0.356138	0.351371	0.363146	0.395892	0.415569	0.309794
540	0.351740	0.406245	0.391679	0.348118	0.350091	0.346022	0.358164	0.393017	0.415265	0.309714
550	0.346885	0.403860	0.386763	0.347218	0.346911	0.342878	0.356375	0.386487	0.413868	0.309658
560	0.344364	0.402883	0.384555	0.344720	0.344460	0.335416	0.351509	0.383147	0.411858	0.310720
570	0.337178	0.401699	0.382550	0.340751	0.340387	0.328645	0.347262	0.383290	0.408633	0.307014
580	0.337465	0.398725	0.378194	0.340063	0.344128	0.318432	0.346127	0.381908	0.404710	0.305509
590	0.332204	0.395460	0.375751	0.341798	0.345240	0.318587	0.344091	0.379289	0.399779	0.307588
600	0.331653	0.393612	0.372816	0.344640	0.345134	0.314549	0.340987	0.374469	0.394326	0.306258
610	0.331151	0.391862	0.371234	0.341161	0.343879	0.312481	0.337324	0.374311	0.393468	0.309278
620	0.329040	0.390927	0.370512	0.341629	0.345218	0.308904	0.335425	0.370200	0.390441	0.310619
630	0.323038	0.389577	0.368445	0.337222	0.347667	0.304959	0.334561	0.367590	0.388472	0.311624
640	0.321801	0.382296	0.366397	0.336535	0.344733	0.302760	0.331881	0.368385	0.388260	0.309861
650	0.319209	0.378899	0.360321	0.334490	0.340552	0.307420	0.327079	0.366278	0.388760	0.312442
660	0.320982	0.376957	0.356885	0.331693	0.339156	0.305544	0.326990	0.364624	0.386174	0.313837
670	0.319650	0.375012	0.358353	0.327701	0.333932	0.301427	0.327245	0.366198	0.382623	0.316094
680	0.316981	0.375035	0.355653	0.326385	0.336883	0.298164	0.325929	0.362874	0.381546	0.315452
690	0.315799	0.375700	0.354027	0.322850	0.331946	0.292485	0.330763	0.360450	0.381417	0.315418
700	0.312078	0.372671	0.350313	0.320979	0.326490	0.288745	0.329103	0.359777	0.380359	0.317008
710	0.310922	0.369147	0.345816	0.320659	0.323703	0.288904	0.327948	0.356901	0.376926	0.314600
720	0.308287	0.368562	0.342869	0.319718	0.324588	0.284030	0.325533	0.354179	0.375287	0.314941
730	0.303142	0.368917	0.337559	0.315475	0.322597	0.281906	0.324913	0.351622	0.373326	0.315303
740	0.304103	0.365458	0.335862	0.314450	0.323394	0.282404	0.320183	0.349831	0.368893	0.314764
750	0.303716	0.365223	0.334254	0.311485	0.319242	0.278265	0.321019	0.345926	0.367597	0.317748
760	0.306717	0.362074	0.338022	0.311481	0.314949	0.278072	0.319453	0.341771	0.365122	0.317386
770	0.307424	0.362093	0.334017	0.313789	0.312605	0.279646	0.323373	0.342863	0.363275	0.317217
780	0.306190	0.360353	0.324853	0.315098	0.314403	0.276109	0.321483	0.342442	0.363654	0.319491
790	0.304146	0.359961	0.323541	0.315048	0.310529	0.276309	0.320240	0.342488	0.365124	0.321123
800	0.303306	0.358193	0.320301	0.319022	0.306410	0.279281	0.318732	0.343174	0.361897	0.321850
810	0.301694	0.358567	0.322693	0.313619	0.307816	0.278307	0.315951	0.341627	0.356518	0.321388
820	0.298999	0.352294	0.320584	0.310476	0.309374	0.271306	0.318013	0.338855	0.353747	0.321982
830	0.298867	0.349627	0.321087	0.310200	0.307817	0.273668	0.315997	0.340857	0.348862	0.319856
840	0.296050	0.350154	0.324013	0.312026	0.308443	0.268886	0.314698	0.345095	0.343514	0.315239
850	0.293279	0.347851	0.321883	0.311866	0.310400	0.265558	0.313536	0.344073	0.341402	0.317309
860	0.292043	0.345373	0.324328	0.312163	0.305718	0.266121	0.308417	0.344688	0.337461	0.318110
870	0.292833	0.341380	0.325969	0.311939	0.303935	0.270297	0.308855	0.342014	0.334206	0.315451
880	0.287766	0.339365	0.323810	0.311198	0.305290	0.264307	0.302921	0.343213	0.331821	0.315714
890	0.286508	0.336447	0.323690	0.312684	0.303916	0.262097	0.302628	0.340568	0.326976	0.316494
900	0.283181	0.335553	0.324539	0.313959	0.306125	0.269400	0.302088	0.339210	0.323390	0.313798
910	0.285210	0.334732	0.324084	0.313866	0.305664	0.268250	0.303685	0.336802	0.321973	0.312449
920	0.286314	0.337437	0.325700	0.311842	0.305032	0.259333	0.302587	0.335868	0.316871	0.313641
930	0.284971	0.335294	0.323373	0.312589	0.303852	0.256837	0.303636	0.332349	0.315932	0.313573
940	0.282511	0.332573	0.324456	0.311879	0.303400	0.255748	0.302397	0.329134	0.316739	0.314048
950	0.286506	0.329923	0.319486	0.309640	0.303153	0.253451	0.301601	0.328681	0.313325	0.312553
960	0.287262	0.331545	0.319924	0.309259	0.304387	0.252043	0.302166	0.329159	0.309370	0.313016
970	0.285970	0.332200	0.325402	0.310337	0.302838	0.254193	0.298586	0.326823	0.305030	0.314825
980	0.285051	0.327920	0.325326	0.309897	0.303684	0.257783	0.297416	0.323428	0.300585	0.314732
990	0.287741	0.328433	0.327573	0.308783	0.301629	0.262918	0.294942	0.318081	0.297554	0.312756
1000	0.284384	0.330244	0.324421	0.310275	0.304482	0.267595	0.296900	0.313987	0.297250	0.313907
1010	0.286730	0.332133	0.324397	0.309547	0.301551	0.262472	0.295301	0.314443	0.296131	0.310979
1020	0.289225	0.330496	0.324955	0.308251	0.306586	0.260421	0.292246	0.314156	0.298326	0.312312
1030	0.290345	0.328693	0.321285	0.307704	0.309034	0.259214	0.292558	0.311153	0.293666	0.310374
1040	0.292494	0.327196	0.319052	0.305804	0.307274	0.257599	0.290916	0.312953	0.292832	0.309224
1050	0.290461	0.330087	0.318336	0.305822	0.308235	0.256324	0.289994	0.318135	0.287201	0.309403
1060	0.288751	0.329716	0.320788	0.305244	0.307708	0.255350	0.287766	0.316160	0.286567	0.311148
1070	0.288210	0.328578	0.318259	0.301075	0.310595	0.260596	0.285539	0.308514	0.286710	0.313854
1080	0.286502	0.326776	0.313227	0.298555	0.308399	0.259452	0.285168	0.307676	0.286255	0.314469
1090	0.285118	0.325029	0.312239	0.301356	0.307105	0.260669	0.283831	0.309831	0.286644	0.312234
1100	0.282906	0.322030	0.312321	0.301002	0.307762	0.255253	0.283120	0.309697	0.289326	0.311297
1110	0.279941	0.325050	0.314456	0.297494	0.304312	0.254239	0.281472	0.306913	0.287315	0.311458
1120	0.281261	0.326511	0.314295	0.298584	0.301464	0.250398	0.281207	0.306875	0.285909	0.308552
1130	0.280412	0.325984	0.314459	0.299039	0.301402	0.249798	0.282672	0.306424	0.287890	0.308299
1140	0.281659	0.326291	0.314964	0.299731	0.299485	0.251006	0.282063	0.306689	0.287290	0.308370
1150	0.281763	0.328583	0.314588	0.298916	0.298813	0.248168	0.281716	0.308273	0.286583	0.306163
1160	0.282428	0.325489	0.310664	0.299938	0.297831	0.245930	0.278919	0.308788	0.286035	0.305014
1170	0.279684	0.326090	0.312311	0.298702	0.299343	0.243374	0.278396	0.309838	0.281359	0.305363
1180	0.280125	0.321724	0.307325	0.301206	0.296933	0.243567	0.278691	0.307961	0.280755	0.308186
1190	0.284379	0.320215	0.300256	0.303945	0.295052	0.243149	0.278867	0.305267	0.280792	0.306006
1200	0.286216	0.317856	0.294910	0.302081	0.293870	0.244111	0.278599	0.305737	0.282075	0.308992
1210	0.286667	0.318689	0.295383	0.303725	0.291947	0.242691	0.275825	0.302243	0.282629	0.308203
1220	0.288651	0.315116	0.293483	0.303659	0.294620	0.242798	0.279081	0.302477	0.281476	0.310145
1230	0.287747	0.312637	0.294921	0.302074	0.293199	0.237533	0.276075	0.304286	0.280109	0.309961
1240	0.286374	0.309843	0.296938	0.298893	0.290106	0.237716	0.274988	0.301981	0.283016	0.311436
1250	0.287128	0.307760	0.297062	0.298695	0.289324	0.234234	0.276361	0.300379	0.285310	0.310693
1260	0.285610	0.305298	0.292819	0.300100	0.287209	0.234032	0.272818	0.299320	0.284089	0.312701
1270	0.282410	0.303533	0.295162	0.299519	0.286120	0.236418	0.270405	0.301627	0.281615	0.313072
1280	0.279269	0.302186	0.292762	0.298992	0.287633	0.236229	0.270288	0.299797	0.283205	0.313150
1290	0.276486	0.304225	0.291987	0.298546	0.290624	0.232556	0.270288	0.297054	0.283356	0.313495
1300	0.277858	0.306295	0.292659	0.296491	0.291190	0.229996	0.268075	0.293248	0.282471	0.313703
1310	0.280134	0.304069	0.294122	0.295163	0.286334	0.227070	0.264771	0.288719	0.283393	0.310386
1320	0.275868	0.304808	0.293021	0.295285	0.287969	0.225216	0.267097	0.283782	0.284548	0.310384
1330	0.276857	0.304083	0.290516	0.296910	0.288303	0.227172	0.265382	0.287086	0.282227	0.310694
1340	0.276167	0.304757	0.290396	0.298742	0.288828	0.230573	0.264952	0.290600	0.278306	0.312627
1350	0.276926	0.303304	0.291191	0.299947	0.289871	0.230516	0.266910	0.289324	0.271462	0.314220
1360	0.275457	0.304337	0.287507	0.301668	0.289191	0.237576	0.266986	0.289646	0.270592	0.313825
1370	0.273447	0.300689	0.286346	0.299356	0.286387	0.238603	0.267252	0.288135	0.267178	0.315140
1380	0.269145	0.300533	0.280188	0.297172	0.283969	0.238860	0.265006	0.294455	0.270790	0.315958
1390	0.268583	0.302874	0.278306	0.299142	0.288642	0.237089	0.269037	0.294530	0.271668	0.315616
1400	0.269078	0.303831	0.274929	0.295711	0.285761	0.242349	0.270875	0.296601	0.270837	0.314999
1410	0.264408	0.303548	0.275949	0.293515	0.284557	0.241215	0.273399	0.294104	0.271638	0.316994
1420	0.265416	0.301763	0.270279	0.289738	0.285780	0.245339	0.272736	0.292908	0.271304	0.318162
1430	0.265287	0.304776	0.268535	0.291730	0.283333	0.251886	0.267992	0.288828	0.269196	0.317034
1440	0.260488	0.302496	0.264563	0.290208	0.280769	0.251132	0.264024	0.290711	0.263704	0.316983
1450	0.256476	0.305229	0.265501	0.290687	0.281251	0.254381	0.264305	0.292008	0.263741	0.314953
1460	0.259874	0.303914	0.268748	0.291023	0.281001	0.248325	0.266092	0.294141	0.262415	0.314937
1470	0.253637	0.301464	0.266191	0.293012	0.279066	0.247121	0.266557	0.297985	0.262672	0.315944
1480	0.255174	0.306573	0.259630	0.288120	0.275927	0.239710	0.266893	0.294237	0.263470	0.315187
1490	0.255647	0.303572	0.259277	0.286954	0.274321	0.239308	0.267299	0.294678	0.262243	0.314583
1500	0.250027	0.302745	0.259225	0.286498	0.273242	0.241317	0.268261	0.297720	0.263417	0.315995
1510	0.247170	0.304555	0.252618	0.284684	0.274355	0.236479	0.266846	0.297108	0.265575	0.317657
1520	0.248017	0.306775	0.253524	0.281409	0.278483	0.230111	0.268563	0.295491	0.260747	0.312908
1530	0.250999	0.307421	0.252560	0.279413	0.277554	0.229291	0.265341	0.295395	0.259176	0.311018
1540	0.249936	0.305716	0.250658	0.281254	0.276186	0.232154	0.262993	0.295697	0.257763	0.306804
1550	0.249870	0.306160	0.255283	0.282873	0.277191	0.229442	0.263475	0.295948	0.257998	0.309278
1560	0.247759	0.302861	0.255919	0.280763	0.278380	0.232676	0.259524	0.296555	0.256352	0.309243
1570	0.246008	0.302956	0.255237	0.281883	0.275437	0.229574	0.259322	0.296542	0.256076	0.308239
1580	0.245247	0.300298	0.253263	0.284118	0.274260	0.225900	0.260785	0.296692	0.259586	0.307910
1590	0.247039	0.300124	0.250893	0.284217	0.273523	0.225045	0.259672	0.298590	0.258662	0.306717
1600	0.242425	0.300938	0.249026	0.289204	0.273673	0.227109	0.261947	0.301797	0.257109	0.306039
1610	0.240645	0.302129	0.247988	0.287742	0.272845	0.220561	0.261323	0.301746	0.258730	0.303890
1620	0.239699	0.299000	0.247693	0.286604	0.270465	0.219062	0.262594	0.302532	0.255849	0.303894
1630	0.241525	0.300555	0.244919	0.282386	0.263593	0.217492	0.262579	0.299852	0.252269	0.303607
1640	0.239818	0.301373	0.238616	0.279310	0.261051	0.214764	0.263864	0.297710	0.253385	0.304626
1650	0.241693	0.299099	0.240175	0.280540	0.257875	0.212974	0.260135	0.296439	0.253267	0.303740
1660	0.239757	0.299422	0.235113	0.278659	0.253689	0.210247	0.256091	0.293935	0.249568	0.303351
1670	0.243489	0.296472	0.231784	0.277703	0.253124	0.219091	0.258473	0.290463	0.247554	0.303188
1680	0.241378	0.293080	0.227536	0.279323	0.249420	0.214967	0.254743	0.293240	0.245100	0.305176
1690	0.233014	0.289841	0.225641	0.279541	0.248941	0.216494	0.257297	0.293183	0.249256	0.304833
1700	0.236336	0.288337	0.226665	0.281779	0.250922	0.217944	0.256717	0.293183	0.246016	0.303138
1710	0.238525	0.287668	0.227592	0.278391	0.250105	0.215560	0.250870	0.292608	0.245448	0.302326
1720	0.232525	0.286680	0.226690	0.280642	0.246595	0.210527	0.249147	0.295916	0.239832	0.302646
