T	p_1	p_2	p_3	p_4	p_5	p_6	p_7	p_8	p_9	p_10
10	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
20	0.000000	0.002356	0.002356	0.000000	0.002356	0.002356	0.000000	0.000000	0.000000	0.000000
30	0.000000	0.000000	0.002356	0.007447	0.002356	0.002356	0.000000	0.002356	0.005272	0.000000
40	0.003329	0.004073	0.006232	0.003329	0.002356	0.002356	0.004699	0.000000	0.004712	0.002356
50	0.004083	0.007447	0.008474	0.000000	0.002356	0.002356	0.003329	0.005763	0.010499	0.005272
60	0.009842	0.013019	0.010945	0.007040	0.005265	0.013464	0.006622	0.009636	0.013869	0.005249
70	0.015224	0.019196	0.016236	0.026776	0.013760	0.022579	0.016662	0.015352	0.022917	0.010197
80	0.025089	0.029713	0.029220	0.029211	0.021495	0.047637	0.032551	0.025100	0.035698	0.016371
90	0.028541	0.049830	0.045358	0.044921	0.032161	0.068100	0.042947	0.035969	0.046097	0.028760
100	0.027616	0.055895	0.045080	0.053564	0.044479	0.068977	0.051011	0.043819	0.044923	0.043327
110	0.027936	0.040709	0.038527	0.052051	0.040442	0.044724	0.047655	0.041979	0.032911	0.046165
120	0.037796	0.028699	0.043984	0.046095	0.030547	0.026412	0.043325	0.045011	0.035633	0.037267
130	0.047165	0.029017	0.051276	0.037355	0.027057	0.013647	0.040356	0.052436	0.031893	0.034148
140	0.046257	0.027916	0.065607	0.029084	0.026829	0.007414	0.036887	0.060823	0.032251	0.031288
150	0.035789	0.026016	0.074490	0.022870	0.029830	0.015177	0.035707	0.065567	0.027666	0.033089
160	0.027568	0.022806	0.074084	0.022747	0.032972	0.011757	0.031826	0.066513	0.027262	0.034395
170	0.022019	0.018712	0.068105	0.022520	0.031572	0.015819	0.032584	0.062208	0.026919	0.035025
180	0.013187	0.020730	0.060940	0.027981	0.030834	0.016164	0.033228	0.056853	0.035799	0.034291
190	0.010424	0.029951	0.054239	0.032585	0.032175	0.019842	0.033333	0.051974	0.036611	0.032502
200	0.010769	0.030676	0.046610	0.036558	0.035918	0.024810	0.034300	0.045095	0.041541	0.031011
