T	p_1	p_2	p_3	p_4	p_5	p_6	p_7	p_8	p_9	p_10
10	0.500000	0.500000	0.500000	0.500000	0.500000	0.500000	0.500000	0.500000	0.500000	0.500000
20	0.500000	0.500100	0.499900	0.500000	0.499900	0.500100	0.500000	0.500000	0.500000	0.500000
30	0.500000	0.500000	0.500100	0.499600	0.499900	0.499900	0.500000	0.500100	0.500100	0.500000
40	0.499800	0.499700	0.499700	0.499800	0.499900	0.499900	0.499600	0.500000	0.499800	0.499900
50	0.499900	0.499600	0.499301	0.500000	0.499900	0.500100	0.500200	0.499600	0.499001	0.499900
60	0.498201	0.498301	0.498401	0.499301	0.499700	0.498501	0.499201	0.498701	0.497202	0.499500
70	0.495703	0.496103	0.496203	0.493305	0.497702	0.495703	0.496603	0.497002	0.493106	0.498701
80	0.486711	0.491107	0.488110	0.488809	0.493805	0.480016	0.487210	0.489808	0.479616	0.495404
90	0.470524	0.467226	0.466926	0.471323	0.484912	0.451539	0.467926	0.473621	0.456435	0.486411
100	0.449640	0.432854	0.434852	0.447842	0.458233	0.394384	0.436251	0.446443	0.429157	0.466727
110	0.436751	0.397382	0.408473	0.412070	0.425759	0.356815	0.404976	0.415867	0.398381	0.432254
120	0.424161	0.376898	0.386391	0.379197	0.401179	0.342626	0.382894	0.394984	0.383793	0.403078
130	0.405875	0.367606	0.371703	0.357714	0.387490	0.336231	0.360212	0.370703	0.369305	0.386191
140	0.379396	0.355915	0.348421	0.342426	0.379896	0.334133	0.345424	0.347422	0.357814	0.372402
150	0.356015	0.346723	0.321043	0.335631	0.369604	0.335132	0.330236	0.325540	0.344225	0.360312
160	0.346523	0.339329	0.302158	0.330036	0.358213	0.334233	0.320244	0.301159	0.334732	0.346922
170	0.340328	0.335731	0.275480	0.325240	0.347422	0.333433	0.308953	0.280276	0.327238	0.331835
180	0.336431	0.330236	0.262290	0.316147	0.335731	0.333633	0.301859	0.265588	0.318145	0.320743
190	0.334932	0.324940	0.250000	0.306155	0.325939	0.329836	0.288369	0.255396	0.310252	0.307954
200	0.334233	0.321843	0.239908	0.300460	0.318245	0.328437	0.283273	0.245703	0.299460	0.298861
210	0.334233	0.309552	0.234812	0.292566	0.307854	0.323741	0.272882	0.240008	0.287170	0.291267
220	0.333833	0.300759	0.228917	0.282774	0.298861	0.316647	0.266886	0.234512	0.277678	0.285572
230	0.332234	0.291966	0.226319	0.273581	0.290468	0.306855	0.261291	0.229516	0.269884	0.282174
240	0.330735	0.278277	0.224620	0.268685	0.282874	0.297462	0.252998	0.226019	0.261191	0.277978
250	0.328537	0.265188	0.224021	0.261890	0.275380	0.286271	0.246303	0.220923	0.255196	0.276379
260	0.323241	0.252198	0.221423	0.255795	0.266187	0.275679	0.240907	0.219824	0.246503	0.268985
270	0.315947	0.244404	0.221123	0.251299	0.258293	0.260891	0.234412	0.216926	0.240608	0.261691
280	0.307654	0.235412	0.218725	0.247602	0.251799	0.256295	0.231415	0.215827	0.233114	0.257294
290	0.292266	0.230815	0.216027	0.244105	0.245604	0.247502	0.228317	0.212930	0.228417	0.247802
300	0.279976	0.220124	0.213529	0.235212	0.240508	0.238709	0.224121	0.209133	0.226519	0.240108
310	0.271583	0.210132	0.209532	0.233413	0.230815	0.235212	0.220923	0.209233	0.224520	0.234612
320	0.262490	0.213829	0.208333	0.230216	0.225819	0.231515	0.218225	0.205336	0.220024	0.227518
330	0.256195	0.210432	0.206135	0.223821	0.222622	0.227618	0.211631	0.207134	0.215627	0.218725
340	0.246703	0.205735	0.202638	0.220324	0.216926	0.226019	0.206934	0.203237	0.214728	0.208733
350	0.237710	0.201339	0.201139	0.217526	0.214029	0.221723	0.207634	0.199440	0.210532	0.199940
360	0.229117	0.196343	0.199341	0.216127	0.206835	0.220324	0.205436	0.195444	0.206435	0.196143
370	0.223521	0.189748	0.196143	0.211831	0.204337	0.217826	0.200240	0.194444	0.200639	0.194744
380	0.218026	0.190847	0.193245	0.209732	0.200839	0.210232	0.194245	0.194245	0.202638	0.186551
390	0.209532	0.187950	0.189249	0.204337	0.196143	0.206535	0.193345	0.190248	0.195643	0.189448
400	0.204836	0.186151	0.189748	0.202738	0.193145	0.204736	0.190747	0.190847	0.192746	0.187850
410	0.201839	0.184253	0.185751	0.199840	0.191447	0.200140	0.188949	0.187650	0.190248	0.183953
420	0.196743	0.179357	0.183753	0.194045	0.186950	0.198241	0.186551	0.181755	0.189249	0.182554
430	0.191447	0.174660	0.180855	0.191547	0.185152	0.194744	0.185452	0.180655	0.188849	0.181155
440	0.183853	0.177958	0.177758	0.188549	0.183553	0.191047	0.183353	0.176958	0.185352	0.182954
450	0.184752	0.176859	0.178857	0.186351	0.182854	0.189349	0.179556	0.175859	0.185651	0.182154
460	0.178557	0.177758	0.173961	0.187750	0.178857	0.185651	0.178657	0.173361	0.183653	0.175859
470	0.177558	0.176958	0.172562	0.182254	0.179956	0.181355	0.174361	0.171763	0.178957	0.173861
480	0.175560	0.172362	0.172862	0.174660	0.178058	0.180556	0.175460	0.162470	0.179357	0.169864
490	0.173261	0.170963	0.169165	0.177558	0.176559	0.174161	0.175460	0.163169	0.177358	0.171563
500	0.174261	0.168965	0.165368	0.173062	0.177158	0.170564	0.174760	0.164768	0.175560	0.172962
510	0.175859	0.169964	0.167566	0.171962	0.171163	0.170464	0.170364	0.160871	0.172862	0.169464
520	0.175959	0.168765	0.166067	0.174460	0.171163	0.167566	0.172562	0.163070	0.172462	0.165268
530	0.174560	0.166367	0.162970	0.171962	0.167366	0.166667	0.167166	0.166267	0.171063	0.162370
540	0.177558	0.163969	0.160871	0.169165	0.165967	0.168165	0.169365	0.166867	0.169065	0.166867
550	0.174460	0.161571	0.164868	0.167166	0.162170	0.166167	0.170364	0.163569	0.166367	0.166767
560	0.172062	0.159772	0.162370	0.161771	0.163169	0.167566	0.169365	0.163369	0.169265	0.166667
570	0.167466	0.158074	0.158373	0.166067	0.159672	0.164868	0.168265	0.165767	0.167666	0.165168
580	0.172362	0.152878	0.156475	0.166966	0.160971	0.167266	0.167066	0.163569	0.167266	0.164269
590	0.173761	0.147482	0.155775	0.164568	0.159872	0.164968	0.167166	0.162470	0.168265	0.163269
600	0.173961	0.151379	0.157774	0.166867	0.156175	0.164069	0.168765	0.159772	0.168465	0.163669
610	0.173961	0.152878	0.154976	0.170064	0.156175	0.165268	0.170564	0.164768	0.168865	0.165168
620	0.177258	0.152978	0.155775	0.165468	0.154576	0.162770	0.168365	0.159073	0.165967	0.163070
630	0.173361	0.152978	0.151878	0.163269	0.157474	0.165068	0.166367	0.160272	0.169764	0.166966
640	0.174061	0.152378	0.155875	0.162170	0.156575	0.162370	0.165368	0.159672	0.164369	0.160072
650	0.172262	0.158573	0.159173	0.159872	0.160072	0.159672	0.166667	0.157674	0.165068	0.162670
660	0.174061	0.161071	0.158173	0.159273	0.160971	0.162070	0.169664	0.157774	0.160072	0.161271
670	0.174760	0.160372	0.158273	0.159173	0.158773	0.156974	0.167966	0.156475	0.161571	0.160472
680	0.173361	0.161371	0.157374	0.162570	0.162670	0.159872	0.169464	0.155376	0.164269	0.164968
690	0.177058	0.159672	0.155576	0.161071	0.161671	0.161471	0.169964	0.155875	0.160871	0.165168
700	0.175160	0.163070	0.156875	0.158973	0.163070	0.163269	0.169864	0.156475	0.167266	0.167766
710	0.172862	0.159872	0.159073	0.158773	0.163070	0.165068	0.169065	0.156875	0.161471	0.169664
720	0.175659	0.159173	0.156075	0.162570	0.159572	0.163669	0.168465	0.155276	0.159672	0.168365
730	0.175659	0.159972	0.156875	0.161771	0.159273	0.162270	0.167966	0.156775	0.161471	0.166067
740	0.172662	0.158673	0.153078	0.160971	0.159073	0.162470	0.173161	0.156375	0.159872	0.163469
750	0.168265	0.164269	0.157874	0.158573	0.159472	0.158373	0.173261	0.152778	0.160871	0.161771
760	0.169065	0.165268	0.156974	0.158573	0.161471	0.159972	0.172962	0.157574	0.159972	0.164568
770	0.163969	0.161970	0.156375	0.160771	0.156475	0.155975	0.169764	0.156175	0.157974	0.163969
780	0.165168	0.161771	0.157174	0.157474	0.161771	0.156375	0.167766	0.158573	0.159872	0.169065
790	0.164369	0.161771	0.157574	0.156475	0.157874	0.156974	0.168565	0.157574	0.162070	0.170863
800	0.169165	0.158273	0.157474	0.158673	0.157874	0.156475	0.168665	0.159073	0.162970	0.164468
810	0.171263	0.158373	0.156974	0.159972	0.153877	0.158273	0.166767	0.156175	0.158173	0.162270
820	0.170863	0.163769	0.158473	0.161171	0.152478	0.160472	0.170863	0.157374	0.160072	0.164968
830	0.169165	0.164369	0.163769	0.160971	0.150679	0.154177	0.169564	0.159273	0.161071	0.162370
840	0.169964	0.169764	0.165168	0.157574	0.147082	0.155276	0.170364	0.160572	0.160771	0.160172
850	0.171563	0.167966	0.163969	0.155975	0.148581	0.155975	0.166667	0.158773	0.159173	0.159373
860	0.168365	0.169464	0.163169	0.157174	0.151479	0.149281	0.168665	0.158273	0.159472	0.160472
870	0.167466	0.170663	0.159073	0.155975	0.150580	0.148481	0.166867	0.160472	0.159872	0.162870
880	0.169165	0.170863	0.157974	0.156075	0.146383	0.148881	0.163369	0.161771	0.159373	0.161970
890	0.167366	0.168165	0.162370	0.157674	0.148281	0.147382	0.162070	0.159772	0.158173	0.158673
900	0.168365	0.167066	0.161471	0.157874	0.145683	0.151279	0.160871	0.158573	0.159872	0.157174
910	0.164468	0.165667	0.160272	0.157774	0.148781	0.151379	0.164169	0.160272	0.159572	0.156675
920	0.163469	0.166567	0.161671	0.158473	0.147882	0.152478	0.164169	0.157074	0.161271	0.157874
930	0.165967	0.166067	0.163070	0.160871	0.148881	0.152378	0.159772	0.158473	0.161571	0.158673
940	0.166167	0.163969	0.162170	0.161471	0.148381	0.151079	0.160372	0.159373	0.157174	0.155675
950	0.162470	0.162770	0.161371	0.159373	0.152878	0.150779	0.162970	0.163569	0.157174	0.155476
960	0.161571	0.161271	0.159972	0.158873	0.152478	0.152178	0.163369	0.159672	0.156475	0.155376
970	0.163369	0.163969	0.157174	0.159273	0.154676	0.152578	0.163769	0.161271	0.160372	0.158074
980	0.159972	0.163669	0.159373	0.164169	0.154676	0.152878	0.161371	0.162270	0.157374	0.157474
990	0.160971	0.160971	0.161871	0.162470	0.158373	0.152278	0.166667	0.161071	0.154277	0.157974
1000	0.161371	0.164668	0.161571	0.166966	0.152578	0.151579	0.164369	0.158873	0.153377	0.158673
1010	0.164369	0.159173	0.159972	0.162370	0.157774	0.154976	0.165667	0.155975	0.154876	0.158173
1020	0.159772	0.160172	0.163369	0.162470	0.157574	0.157274	0.159472	0.153277	0.151479	0.158473
1030	0.162570	0.160272	0.157874	0.160671	0.152478	0.156575	0.160771	0.154476	0.152478	0.156675
1040	0.159273	0.157474	0.157474	0.164169	0.152878	0.154177	0.163869	0.152678	0.152678	0.158273
1050	0.161271	0.158074	0.156475	0.161471	0.154077	0.155376	0.165268	0.149580	0.152978	0.159972
1060	0.162170	0.161970	0.163569	0.163869	0.156575	0.151379	0.168066	0.153677	0.154976	0.160272
1070	0.161271	0.157774	0.161571	0.160272	0.153177	0.155576	0.165667	0.156375	0.155476	0.162270
1080	0.165967	0.157374	0.166667	0.159073	0.152278	0.158673	0.164069	0.156875	0.155076	0.161671
