T	p_1	p_2	p_3	p_4	p_5	p_6	p_7	p_8	p_9	p_10
10	0.499863	0.500191	0.499788	0.499933	0.500104	0.500119	0.499806	0.500063	0.499506	0.500226
20	0.498856	0.498991	0.499166	0.498668	0.499842	0.498880	0.499101	0.499690	0.498473	0.499661
30	0.497748	0.496588	0.497391	0.497419	0.498450	0.497060	0.497116	0.498427	0.496181	0.499286
40	0.495623	0.493172	0.494221	0.494492	0.497308	0.494054	0.494927	0.495260	0.491551	0.498939
50	0.490269	0.485390	0.489065	0.487692	0.494163	0.485588	0.488610	0.491158	0.484533	0.496686
60	0.482159	0.474641	0.480604	0.475400	0.487331	0.472455	0.479119	0.483651	0.474542	0.491458
70	0.468122	0.457741	0.462372	0.459723	0.476573	0.445818	0.456337	0.466320	0.454021	0.480622
80	0.449725	0.423132	0.433542	0.432859	0.456881	0.412274	0.429221	0.440018	0.427711	0.463152
90	0.430292	0.389149	0.402222	0.403021	0.426266	0.371711	0.395515	0.407444	0.402232	0.436898
100	0.413890	0.359191	0.372952	0.370056	0.396757	0.349965	0.365847	0.375799	0.377970	0.405226
110	0.399302	0.340781	0.347120	0.345058	0.376460	0.341597	0.344085	0.348867	0.364355	0.378853
120	0.380596	0.330410	0.325978	0.328193	0.363936	0.337750	0.324557	0.319313	0.351607	0.358810
130	0.361361	0.320881	0.302351	0.315932	0.354461	0.336098	0.308054	0.295903	0.341510	0.341056
140	0.349206	0.313208	0.278688	0.308179	0.342580	0.334891	0.292325	0.273508	0.330992	0.325917
150	0.343916	0.303926	0.260377	0.300956	0.331798	0.330349	0.281776	0.254398	0.319184	0.308312
160	0.341204	0.296584	0.243411	0.291166	0.316407	0.326610	0.270275	0.239720	0.305263	0.294725
170	0.339353	0.287884	0.233410	0.279700	0.303138	0.321008	0.261631	0.228383	0.290830	0.283599
180	0.337517	0.280019	0.225638	0.267704	0.290071	0.313108	0.250772	0.220625	0.277651	0.272516
190	0.334829	0.272484	0.218726	0.261096	0.277165	0.306349	0.243734	0.213563	0.267253	0.263702
200	0.331028	0.259009	0.213517	0.252475	0.263645	0.294868	0.235213	0.208069	0.253208	0.254586
210	0.328154	0.245753	0.210181	0.244738	0.252245	0.283528	0.227244	0.203579	0.243487	0.249345
220	0.322901	0.235108	0.207163	0.236095	0.243985	0.271562	0.219908	0.197834	0.237023	0.243461
230	0.317286	0.221299	0.202871	0.232192	0.233176	0.258925	0.211855	0.192227	0.231122	0.237286
240	0.309055	0.209586	0.202724	0.225072	0.224336	0.246009	0.205155	0.183549	0.225351	0.230819
250	0.295517	0.196047	0.199368	0.219590	0.215391	0.234620	0.199781	0.178532	0.219919	0.219964
260	0.286412	0.187493	0.197462	0.213978	0.207401	0.224623	0.192622	0.175380	0.216116	0.212666
270	0.271142	0.179972	0.192460	0.209722	0.202107	0.220855	0.190131	0.169330	0.210165	0.204760
280	0.251784	0.174330	0.186959	0.204587	0.194827	0.212779	0.185664	0.166773	0.206296	0.195254
290	0.237503	0.165424	0.181957	0.197341	0.189956	0.206895	0.178892	0.161229	0.203902	0.184543
300	0.228822	0.160439	0.177979	0.193684	0.182491	0.201442	0.173820	0.159800	0.198811	0.176812
310	0.218076	0.162606	0.176434	0.188909	0.178702	0.198123	0.170614	0.155168	0.194648	0.168817
320	0.209214	0.158210	0.173915	0.179187	0.174718	0.192597	0.163761	0.158364	0.187404	0.160328
330	0.200561	0.155624	0.169648	0.174778	0.171031	0.190917	0.158878	0.152604	0.183655	0.149865
340	0.189649	0.149746	0.165481	0.170674	0.167494	0.185231	0.158555	0.150061	0.180032	0.144076
350	0.180168	0.146880	0.161132	0.168173	0.162954	0.180497	0.156282	0.144631	0.174053	0.142101
360	0.173341	0.140926	0.157381	0.163380	0.159629	0.175391	0.151271	0.143052	0.169691	0.140666
370	0.168540	0.141671	0.154472	0.157099	0.155538	0.167733	0.148548	0.141990	0.170279	0.136262
380	0.159001	0.141507	0.150508	0.151484	0.151872	0.159929	0.143086	0.137352	0.165053	0.140202
390	0.152269	0.140135	0.148584	0.149471	0.148837	0.155147	0.140397	0.138427	0.161430	0.138805
400	0.149730	0.135436	0.144718	0.144837	0.145272	0.151320	0.138204	0.136187	0.157661	0.137222
410	0.143502	0.131266	0.139210	0.137635	0.141809	0.147771	0.136055	0.130989	0.157206	0.133211
420	0.139654	0.131551	0.132850	0.135131	0.138856	0.144621	0.135346	0.126750	0.155120	0.133401
430	0.133301	0.134329	0.129432	0.130133	0.137865	0.139679	0.133651	0.121872	0.154077	0.133675
440	0.131335	0.133669	0.131992	0.127954	0.136417	0.137350	0.131963	0.121132	0.151833	0.134998
450	0.127497	0.133674	0.128263	0.126449	0.133154	0.132204	0.129756	0.116854	0.150573	0.128039
460	0.124918	0.130630	0.127582	0.121891	0.130128	0.128454	0.125395	0.112410	0.147788	0.126713
470	0.126075	0.127731	0.125431	0.115988	0.129677	0.125629	0.127247	0.105183	0.147354	0.124728
480	0.124967	0.127331	0.123444	0.119220	0.126728	0.121356	0.128158	0.105522	0.146045	0.125485
490	0.126574	0.126623	0.118509	0.114602	0.127966	0.117996	0.127084	0.104474	0.144358	0.127109
500	0.128452	0.126149	0.120819	0.112144	0.122706	0.116515	0.125330	0.104475	0.142187	0.123924
510	0.127814	0.125315	0.119844	0.114470	0.119922	0.113994	0.125552	0.107160	0.141829	0.121378
520	0.127300	0.121619	0.114593	0.113153	0.114988	0.114735	0.121384	0.110182	0.140871	0.118968
530	0.129082	0.120928	0.112409	0.111380	0.112395	0.116159	0.124759	0.111065	0.138632	0.123157
540	0.126624	0.121504	0.113386	0.108349	0.110593	0.115755	0.126005	0.109073	0.136220	0.125472
550	0.125367	0.116859	0.110666	0.105816	0.109722	0.116211	0.123846	0.109523	0.137015	0.125120
560	0.122366	0.113892	0.109373	0.108076	0.107482	0.114518	0.123948	0.109581	0.138219	0.121845
570	0.124375	0.108113	0.107757	0.108996	0.108911	0.115103	0.125649	0.105770	0.135368	0.121215
580	0.127156	0.104949	0.106184	0.105619	0.106514	0.114787	0.126507	0.105049	0.134659	0.118964
590	0.125628	0.106396	0.107804	0.107799	0.104714	0.116403	0.129096	0.102260	0.132525	0.120967
600	0.127353	0.105911	0.105248	0.107875	0.103616	0.117500	0.127994	0.104536	0.133145	0.119348
610	0.127869	0.107317	0.105673	0.104302	0.103880	0.114410	0.125185	0.101558	0.130870	0.117419
620	0.125882	0.107219	0.102612	0.101362	0.105118	0.113916	0.122264	0.101907	0.129876	0.120400
630	0.124945	0.107000	0.106199	0.101111	0.105567	0.110520	0.121714	0.099353	0.125042	0.117142
640	0.124960	0.109396	0.109133	0.101141	0.108787	0.110213	0.124409	0.099818	0.125429	0.116337
650	0.127544	0.113853	0.109609	0.100307	0.108911	0.111577	0.125262	0.097541	0.121193	0.113974
660	0.127789	0.113821	0.109354	0.100210	0.107896	0.108564	0.124301	0.097359	0.123024	0.113599
670	0.126482	0.112185	0.109883	0.103912	0.109882	0.110945	0.126994	0.098807	0.123943	0.116068
680	0.129557	0.110116	0.107964	0.102461	0.110395	0.112581	0.127219	0.098978	0.120853	0.117373
690	0.127792	0.111218	0.109211	0.100481	0.110850	0.111632	0.127545	0.098593	0.125085	0.118573
700	0.126236	0.109971	0.107352	0.099724	0.108309	0.113814	0.128871	0.098896	0.122737	0.121446
710	0.128638	0.106362	0.106278	0.102903	0.104370	0.113518	0.127383	0.097660	0.121847	0.118758
720	0.126359	0.108127	0.106637	0.103039	0.103876	0.111774	0.128300	0.097860	0.122287	0.118654
730	0.124023	0.107445	0.104062	0.103490	0.105393	0.110866	0.130991	0.097222	0.121708	0.116763
740	0.122419	0.112042	0.107377	0.101415	0.105176	0.108573	0.131577	0.095406	0.121545	0.116386
750	0.121295	0.113950	0.106444	0.101424	0.106202	0.108162	0.132051	0.099524	0.122893	0.119375
760	0.117753	0.113525	0.105554	0.102825	0.104413	0.104980	0.129987	0.099945	0.119859	0.120778
770	0.119854	0.112648	0.105323	0.100197	0.104950	0.104033	0.128885	0.100581	0.122523	0.122998
780	0.119368	0.112061	0.107767	0.100622	0.103546	0.106693	0.127890	0.100244	0.124905	0.124586
790	0.122216	0.110855	0.108940	0.102785	0.103893	0.107526	0.128774	0.101294	0.124133	0.120508
800	0.124928	0.110647	0.107321	0.103803	0.100922	0.109735	0.129626	0.099210	0.121084	0.120437
810	0.125698	0.112747	0.110616	0.103407	0.099546	0.110573	0.133072	0.100722	0.123418	0.122525
820	0.123132	0.113977	0.114513	0.102462	0.095350	0.106517	0.133007	0.101868	0.122013	0.121588
830	0.124727	0.117223	0.116173	0.099753	0.093968	0.106960	0.131058	0.103823	0.121064	0.118435
840	0.125907	0.114989	0.113347	0.097353	0.096055	0.105147	0.129052	0.101130	0.119664	0.116193
850	0.123484	0.115925	0.112625	0.098041	0.097487	0.098731	0.129575	0.100808	0.121228	0.116087
860	0.122674	0.115959	0.109530	0.095463	0.098997	0.098897	0.127228	0.103184	0.121170	0.116974
870	0.125112	0.116567	0.108452	0.097463	0.096520	0.100113	0.124253	0.104223	0.120493	0.114312
880	0.125826	0.118119	0.110987	0.098451	0.097896	0.099085	0.122809	0.104214	0.120167	0.112637
890	0.125482	0.116158	0.109822	0.098533	0.096180	0.103107	0.122309	0.102261	0.121350	0.111976
900	0.121519	0.115890	0.109202	0.099254	0.098460	0.102981	0.124761	0.101466	0.122804	0.111608
