essentiality,grp_size,avg_q,asd_q,avg_s,asd_s,avg_porp,asd_porp
0.5,8,0.0032284,0.0170412,0.0309682,0.060337,0.004916,0.0245916
0.555556,8,0.0032136,0.0169992,0.0308938,0.0598304,0.004899,0.0245494
0.611111,8,0.0032142,0.017018,0.0311512,0.060317,0.0049182,0.0246034
0.666667,8,0.0032346,0.0170378,0.03095,0.0601736,0.0049356,0.024638
0.722222,8,0.0032252,0.0170194,0.0308686,0.0599928,0.004916,0.0245938
0.777778,8,0.0032216,0.017032,0.030974,0.060136,0.0049158,0.0245944
0.833333,8,0.0032346,0.0170524,0.0310582,0.0605124,0.004915,0.0245972
0.888889,8,0.0032128,0.0169828,0.0311582,0.060653,0.0049126,0.024584
0.944444,8,0.0032142,0.0169758,0.0310722,0.0603012,0.004919,0.0245972
1,8,0.0029968,0.0152642,0.0404812,0.0559168,0.0052722,0.0245212
0.5,16,0.0032918,0.0171072,0.0309952,0.0604252,0.0051902,0.020084
0.555556,16,0.0033078,0.017167,0.0312208,0.0601358,0.0052274,0.0201704
0.611111,16,0.0033204,0.0172254,0.0314372,0.0604678,0.005265,0.0202462
0.666667,16,0.0034232,0.0174826,0.031407,0.0603576,0.0053966,0.0204782
0.722222,16,0.0035694,0.017847,0.0304584,0.0595798,0.0055594,0.0207422
0.777778,16,0.0037764,0.0183012,0.0307104,0.059721,0.0058564,0.0212648
0.833333,16,0.0040894,0.0190972,0.0305268,0.0597762,0.0062694,0.0219592
0.888889,16,0.0050628,0.021277,0.0301216,0.0594214,0.0075508,0.0239552
0.944444,16,0.0110372,0.031217,0.0256942,0.0550668,0.014888,0.0328724
1,16,0.0102002,0.0249416,0.1884986,0.3613968,0.0488588,0.0325386
0.5,24,0.003292,0.0170798,0.0307584,0.059197,0.0052338,0.018341
0.555556,24,0.0033256,0.0171296,0.0317642,0.060365,0.0053266,0.0185198
0.611111,24,0.0034136,0.0173226,0.0308682,0.059327,0.0054222,0.0186404
0.666667,24,0.0034806,0.017574,0.0312412,0.0602342,0.005532,0.018827
0.722222,24,0.0037128,0.0180872,0.0303664,0.0592242,0.0057932,0.0191786
0.777778,24,0.0039634,0.0187202,0.0314212,0.0600844,0.0061734,0.019777
0.833333,24,0.004597,0.020107,0.029148,0.057963,0.006932,0.020742
0.888889,24,0.0061934,0.0234622,0.0286934,0.0575354,0.0089482,0.0232716
0.944444,24,0.0201924,0.041126,0.0215204,0.0508,0.025149,0.0367068
1,24,0.027135,0.0433812,0.2062326,0.3815774,0.0519286,0.034676
0.5,32,0.003267,0.0168852,0.0316726,0.0601914,0.0052556,0.0174212
0.555556,32,0.003344,0.0171426,0.0310664,0.0597656,0.0053472,0.017525
0.611111,32,0.003464,0.017412,0.0303658,0.0586754,0.0055128,0.017746
0.666667,32,0.0036152,0.0177714,0.0311184,0.0603464,0.005669,0.0179456
0.722222,32,0.0037164,0.018052,0.0306606,0.058483,0.0058908,0.0182972
0.777778,32,0.0040626,0.0189162,0.030371,0.0588122,0.0063172,0.0188334
0.833333,32,0.0048492,0.0206428,0.0302456,0.0587414,0.007289,0.0200246
0.888889,32,0.0069924,0.0248064,0.0296922,0.058189,0.0099672,0.0229284
0.944444,32,0.0262448,0.0460836,0.0189718,0.0481626,0.0316462,0.0371976
1,32,0.034039,0.0483678,0.1987704,0.3542522,0.0591044,0.0356214
0.5,40,0.0032824,0.0169054,0.0319558,0.059841,0.0053184,0.0168896
0.555556,40,0.0034226,0.017221,0.0313144,0.0600332,0.0054618,0.017013
0.611111,40,0.0035124,0.0174614,0.0302524,0.0580792,0.0055608,0.0171384
0.666667,40,0.0035702,0.017599,0.0322028,0.060753,0.0057194,0.017444
0.722222,40,0.0037734,0.0182072,0.030345,0.058296,0.0059228,0.0176278
0.777778,40,0.0040584,0.0188114,0.031455,0.0587354,0.0064082,0.0183392
0.833333,40,0.0049662,0.020844,0.0302948,0.0587876,0.0074506,0.0193994
0.888889,40,0.0077402,0.0258712,0.0284688,0.0571596,0.0108052,0.0225608
0.944444,40,0.029752,0.0486402,0.017618,0.0456808,0.0354738,0.036694
1,40,0.0396958,0.0503684,0.1701934,0.3194254,0.063224,0.0348692
