T	p_1	p_2	p_3	p_4	p_5	p_6	p_7	p_8	p_9	p_10
10	0.500067	0.499910	0.500002	0.499958	0.499887	0.500017	0.499903	0.500034	0.500031	0.499985
20	0.499411	0.499940	0.499698	0.499751	0.499716	0.499839	0.499585	0.499769	0.499993	0.499604
30	0.499152	0.499046	0.499295	0.499422	0.499390	0.499426	0.499323	0.499877	0.499604	0.499333
40	0.498242	0.498421	0.498257	0.498518	0.498747	0.498951	0.498262	0.499568	0.499081	0.498959
50	0.497040	0.497229	0.496866	0.497942	0.498205	0.498574	0.497279	0.499299	0.498672	0.497680
60	0.494801	0.495557	0.495209	0.496803	0.496964	0.497521	0.496259	0.498598	0.498020	0.495966
70	0.492694	0.493966	0.493383	0.495753	0.495961	0.496287	0.494078	0.497637	0.496505	0.494502
80	0.490017	0.490219	0.490365	0.493468	0.494641	0.494615	0.491098	0.496534	0.495688	0.492388
90	0.485953	0.486766	0.484652	0.491325	0.492830	0.492638	0.487440	0.495441	0.493257	0.489977
100	0.480593	0.482159	0.475302	0.488228	0.490103	0.488767	0.482771	0.492358	0.489667	0.487042
110	0.474123	0.475879	0.462218	0.483641	0.486482	0.484053	0.478602	0.489320	0.484719	0.482093
120	0.465226	0.467777	0.446101	0.478108	0.481567	0.478021	0.473151	0.485651	0.478986	0.474693
130	0.456481	0.457924	0.419020	0.471310	0.475010	0.470704	0.463740	0.481145	0.468732	0.464479
140	0.444571	0.442489	0.383490	0.462015	0.468129	0.461576	0.453866	0.474914	0.455323	0.453017
150	0.429798	0.428507	0.341991	0.449154	0.458346	0.448225	0.440468	0.467514	0.439105	0.435709
160	0.410897	0.410859	0.302099	0.436344	0.443977	0.431722	0.422393	0.456281	0.414321	0.415148
170	0.389274	0.391313	0.256750	0.418355	0.425559	0.407708	0.402063	0.443972	0.384763	0.385560
180	0.366944	0.369103	0.218783	0.396204	0.407251	0.382022	0.382764	0.427103	0.346441	0.352943
190	0.339568	0.347740	0.188033	0.372105	0.382307	0.350292	0.359662	0.410283	0.305899	0.321083
200	0.312392	0.326173	0.166901	0.346506	0.354009	0.323825	0.334636	0.388906	0.265997	0.289959
210	0.278879	0.309603	0.151362	0.327830	0.323060	0.292034	0.311740	0.366196	0.229245	0.257410
220	0.248080	0.294156	0.140533	0.304389	0.289799	0.265952	0.292102	0.344312	0.193229	0.231669
230	0.215707	0.278766	0.130381	0.280674	0.262037	0.243829	0.274254	0.321105	0.167650	0.209146
240	0.183460	0.266117	0.122779	0.257703	0.231709	0.226143	0.260590	0.302527	0.145058	0.192351
