T	p_1	p_2	p_3	p_4	p_5	p_6	p_7	p_8	p_9	p_10
10	0.492900	0.503400	0.502600	0.505400	0.496800	0.501700	0.497200	0.498100	0.499100	0.499000
20	0.489000	0.500700	0.497900	0.504700	0.495700	0.496800	0.499800	0.499400	0.506400	0.499800
30	0.505100	0.501700	0.500600	0.497400	0.498800	0.504500	0.502200	0.500800	0.498100	0.495300
40	0.488600	0.491700	0.497100	0.497400	0.511500	0.499500	0.505000	0.498200	0.499700	0.500300
50	0.506200	0.488800	0.507200	0.500400	0.497300	0.498400	0.501300	0.504800	0.493500	0.496600
60	0.505600	0.495300	0.496900	0.491100	0.500300	0.501300	0.493500	0.495900	0.501700	0.496400
70	0.500100	0.494200	0.499700	0.492000	0.500300	0.494600	0.490800	0.489800	0.490400	0.491000
80	0.497700	0.498900	0.498900	0.490800	0.501700	0.493900	0.488800	0.489100	0.488700	0.501500
90	0.491600	0.497000	0.489300	0.486400	0.488400	0.489600	0.486900	0.495500	0.501900	0.493900
100	0.494400	0.499500	0.484300	0.490100	0.498400	0.486400	0.489900	0.475500	0.489500	0.499700
110	0.489800	0.496100	0.486300	0.489900	0.493000	0.492700	0.482900	0.477300	0.494200	0.492200
120	0.483200	0.484700	0.481300	0.476200	0.487300	0.475600	0.486200	0.474600	0.478900	0.494000
130	0.487100	0.480600	0.476800	0.466900	0.486800	0.475400	0.477900	0.464100	0.468200	0.483700
140	0.474200	0.486100	0.472200	0.458700	0.475100	0.464300	0.476500	0.451800	0.457900	0.483300
150	0.467700	0.471800	0.453400	0.448600	0.467800	0.448900	0.467200	0.435300	0.448600	0.478700
160	0.459100	0.465000	0.450500	0.430900	0.453500	0.419900	0.455800	0.410100	0.437800	0.466300
170	0.452500	0.454100	0.437800	0.407600	0.434500	0.403000	0.448500	0.383700	0.416000	0.457400
180	0.448200	0.435000	0.430400	0.390700	0.413300	0.375900	0.430200	0.368800	0.394600	0.453600
190	0.427000	0.406800	0.421400	0.374500	0.405200	0.335000	0.408300	0.334500	0.376700	0.437000
200	0.426900	0.388700	0.401000	0.333500	0.373200	0.294000	0.381300	0.303200	0.350100	0.425700
210	0.408500	0.369100	0.373200	0.317200	0.347400	0.265200	0.373800	0.282300	0.328200	0.395700
220	0.388000	0.336200	0.365300	0.287500	0.314500	0.219300	0.346100	0.268200	0.303900	0.385800
230	0.378800	0.304500	0.344300	0.268600	0.288800	0.193300	0.325500	0.251700	0.279100	0.363500
240	0.373800	0.281100	0.332900	0.245700	0.271400	0.169500	0.304100	0.233800	0.276000	0.340100
250	0.359100	0.245400	0.316600	0.229700	0.244700	0.163300	0.283700	0.227600	0.262500	0.332000
260	0.331900	0.224400	0.291800	0.219700	0.232900	0.135800	0.270500	0.211100	0.249600	0.300800
270	0.330000	0.201100	0.291400	0.215900	0.208700	0.130800	0.253500	0.195700	0.227700	0.283400
280	0.319000	0.175000	0.257100	0.200100	0.196800	0.122500	0.241500	0.174900	0.213600	0.268800
290	0.296300	0.159600	0.239700	0.199400	0.185200	0.120600	0.228300	0.172400	0.203200	0.245300
300	0.295400	0.143400	0.220900	0.181800	0.166000	0.111800	0.225400	0.151500	0.196500	0.222000
310	0.276200	0.122900	0.209100	0.173500	0.151300	0.108500	0.207800	0.137400	0.175400	0.217000
320	0.275400	0.110400	0.189200	0.166900	0.138200	0.100500	0.198200	0.131400	0.184400	0.208100
330	0.266500	0.101400	0.172300	0.156700	0.122600	0.089700	0.192000	0.120400	0.164600	0.181800
