T	p_1	p_2	p_3	p_4	p_5	p_6	p_7	p_8	p_9	p_10
10	0.499866	0.499895	0.500067	0.500020	0.499965	0.499907	0.499872	0.499991	0.499996	0.499840
20	0.499785	0.499793	0.500103	0.500042	0.499637	0.499437	0.499598	0.499686	0.499469	0.499822
30	0.499534	0.499178	0.499561	0.499528	0.499428	0.499159	0.499538	0.499105	0.499068	0.499489
40	0.499049	0.498656	0.498458	0.498667	0.498790	0.498321	0.499445	0.498143	0.498216	0.498773
50	0.498577	0.497965	0.497681	0.497943	0.497643	0.498259	0.498085	0.496462	0.497312	0.497880
60	0.498268	0.497335	0.496350	0.496433	0.497020	0.496923	0.497286	0.494073	0.495449	0.497384
70	0.497314	0.496978	0.494542	0.494430	0.495887	0.495381	0.495880	0.492140	0.493681	0.496206
80	0.495905	0.496091	0.492376	0.491534	0.494477	0.493496	0.494261	0.488678	0.491066	0.495209
90	0.493917	0.493771	0.489745	0.488470	0.493029	0.490049	0.491472	0.482769	0.487872	0.493535
100	0.491792	0.490670	0.486840	0.483414	0.489558	0.486934	0.488723	0.476175	0.483545	0.490583
110	0.487875	0.487313	0.482468	0.476938	0.485891	0.480753	0.486928	0.469321	0.477810	0.488309
120	0.484619	0.484173	0.478591	0.467763	0.480633	0.473501	0.481604	0.459116	0.470714	0.484195
130	0.479273	0.479040	0.471924	0.458986	0.473515	0.461786	0.475838	0.445688	0.459562	0.479784
140	0.472226	0.471001	0.463789	0.446494	0.464192	0.445653	0.468176	0.430383	0.446961	0.474156
150	0.465099	0.462792	0.454299	0.428523	0.451500	0.423866	0.457475	0.407974	0.431496	0.466988
160	0.454526	0.448202	0.444336	0.407800	0.435203	0.399485	0.444331	0.383945	0.414608	0.456666
170	0.442098	0.431771	0.429230	0.386580	0.416075	0.366890	0.427357	0.358451	0.392549	0.445633
180	0.428739	0.411256	0.413750	0.359259	0.397502	0.328719	0.406830	0.330289	0.372482	0.431607
190	0.415067	0.389115	0.396122	0.333165	0.368156	0.290061	0.385247	0.303200	0.346321	0.418344
200	0.403073	0.363483	0.378330	0.307916	0.342224	0.252328	0.364293	0.279922	0.322241	0.399170
210	0.388717	0.331697	0.360155	0.284998	0.315362	0.213663	0.341914	0.260187	0.300058	0.379049
220	0.374798	0.302000	0.342104	0.263112	0.292578	0.187531	0.323152	0.244757	0.279083	0.359476
230	0.359555	0.274840	0.323469	0.246782	0.268691	0.168216	0.302107	0.228401	0.265836	0.338898
