T	p_1	p_2	p_3	p_4	p_5	p_6	p_7	p_8	p_9	p_10
10	0.000369	0.000514	0.000460	0.000330	0.000524	0.000459	0.000431	0.000411	0.000389	0.000446
20	0.000783	0.001031	0.000749	0.000874	0.000951	0.001052	0.000783	0.000724	0.000832	0.000887
30	0.001070	0.001245	0.001053	0.001204	0.001114	0.001623	0.001215	0.001359	0.001136	0.001207
40	0.001754	0.001476	0.001852	0.001962	0.001502	0.002276	0.001800	0.001611	0.001729	0.001703
50	0.002344	0.001905	0.002570	0.002410	0.001813	0.002877	0.002097	0.002755	0.002479	0.002132
60	0.002986	0.001956	0.003513	0.002694	0.002322	0.003488	0.002835	0.002933	0.002698	0.002814
70	0.003463	0.002588	0.004242	0.003379	0.002891	0.004042	0.003330	0.003377	0.003149	0.002806
80	0.004015	0.002759	0.004325	0.003924	0.003227	0.004006	0.003655	0.003653	0.003589	0.002712
90	0.004643	0.003236	0.004290	0.004173	0.003859	0.004396	0.003920	0.003932	0.003647	0.002855
100	0.005749	0.003887	0.005409	0.004711	0.004075	0.004562	0.004326	0.004382	0.004415	0.002825
110	0.006222	0.004996	0.005831	0.005013	0.004474	0.004540	0.004434	0.004749	0.004421	0.003298
120	0.006739	0.005774	0.005836	0.005078	0.004835	0.005065	0.004832	0.004654	0.005185	0.003966
130	0.007116	0.006806	0.005686	0.005297	0.004683	0.005362	0.005540	0.004909	0.004974	0.004623
140	0.007590	0.006985	0.006318	0.005079	0.005412	0.005285	0.005416	0.004970	0.005258	0.005127
150	0.007392	0.006647	0.006217	0.005060	0.004969	0.005734	0.004952	0.004312	0.005965	0.005611
160	0.007331	0.005850	0.006077	0.004419	0.004626	0.005408	0.005375	0.004349	0.006452	0.005566
170	0.007707	0.005318	0.006176	0.004341	0.004801	0.005318	0.005818	0.004497	0.005624	0.005357
180	0.007198	0.005021	0.006224	0.003858	0.004701	0.004697	0.005662	0.004155	0.004909	0.005200
190	0.007256	0.004045	0.006422	0.003348	0.004567	0.004006	0.005130	0.003106	0.004233	0.005077
200	0.007447	0.003226	0.006448	0.002635	0.003535	0.002889	0.004553	0.002542	0.004137	0.004366
210	0.006574	0.002610	0.006493	0.002279	0.003159	0.002094	0.003855	0.002199	0.003795	0.004526
220	0.005631	0.002395	0.005748	0.001786	0.002274	0.001704	0.004173	0.002187	0.003187	0.004388
230	0.004619	0.002283	0.005400	0.001420	0.001963	0.001661	0.003630	0.002096	0.002961	0.004251
240	0.003934	0.002078	0.004515	0.001497	0.001804	0.001736	0.003018	0.001717	0.002514	0.003824
250	0.003365	0.001785	0.003752	0.001306	0.002106	0.001613	0.002818	0.001916	0.002433	0.003429
260	0.003135	0.001754	0.003454	0.001352	0.001932	0.001821	0.002844	0.002003	0.002124	0.003162
270	0.002500	0.001462	0.003053	0.001252	0.002216	0.001576	0.001960	0.001693	0.001917	0.003014
280	0.002758	0.001248	0.002807	0.001486	0.002558	0.001581	0.001715	0.001289	0.001582	0.002305
290	0.002380	0.001372	0.003012	0.001448	0.002582	0.001685	0.001921	0.001398	0.001432	0.001872
300	0.002399	0.000940	0.002738	0.001570	0.002893	0.001672	0.002205	0.001466	0.001430	0.001757
310	0.001898	0.000970	0.002777	0.001404	0.003908	0.001804	0.002288	0.001376	0.001684	0.001891
320	0.001613	0.001103	0.002986	0.001430	0.004534	0.001813	0.002212	0.001701	0.001520	0.001687
330	0.001607	0.001189	0.003376	0.001360	0.005314	0.001867	0.002360	0.001634	0.001653	0.001697
340	0.001528	0.001456	0.003830	0.001356	0.005365	0.002268	0.002128	0.001432	0.001914	0.001247
350	0.001635	0.001312	0.004684	0.001483	0.006676	0.002381	0.002069	0.001452	0.001747	0.001216
360	0.001464	0.001418	0.005001	0.001463	0.008200	0.002549	0.002246	0.001610	0.002056	0.001182
370	0.001164	0.001372	0.005415	0.001794	0.009525	0.002916	0.002443	0.001815	0.001752	0.001064
380	0.001092	0.001514	0.006176	0.001484	0.010050	0.003410	0.002563	0.001662	0.002344	0.001081
390	0.001034	0.002160	0.007210	0.001838	0.011432	0.003773	0.002976	0.001763	0.002172	0.001423
400	0.001457	0.001587	0.007747	0.002230	0.012353	0.003544	0.003275	0.001620	0.002470	0.001635
410	0.001761	0.002008	0.008337	0.002474	0.012828	0.004535	0.003760	0.001665	0.002599	0.001407
420	0.001556	0.002485	0.008590	0.003083	0.013432	0.004513	0.004473	0.001947	0.002882	0.001214
430	0.001594	0.002457	0.009515	0.003641	0.012950	0.005008	0.004488	0.001820	0.003085	0.001386
