T	p_1	p_2	p_3	p_4	p_5	p_6	p_7	p_8	p_9	p_10
10	0.176777	0.177508	0.179964	0.178211	0.178095	0.166202	0.178595	0.178543	0.175845	0.171156
20	0.179093	0.176382	0.184207	0.176740	0.174796	0.174496	0.176230	0.175636	0.176149	0.177926
30	0.182826	0.172334	0.176317	0.177007	0.178064	0.174569	0.179262	0.176202	0.178168	0.179300
40	0.176457	0.178128	0.174325	0.177928	0.175311	0.176936	0.182384	0.170920	0.173324	0.176206
50	0.174468	0.171569	0.178290	0.178869	0.175553	0.176236	0.174215	0.176502	0.179895	0.176777
60	0.178209	0.180489	0.180562	0.172151	0.183920	0.173670	0.171932	0.178221	0.179518	0.168960
70	0.173556	0.173917	0.175663	0.173762	0.171207	0.178865	0.176441	0.176308	0.171364	0.178914
80	0.179299	0.180292	0.172693	0.175652	0.168679	0.173019	0.177080	0.177233	0.179120	0.179757
90	0.178695	0.176298	0.175381	0.175336	0.179585	0.175040	0.176534	0.178183	0.174105	0.177625
100	0.176848	0.177240	0.178079	0.174222	0.172673	0.167785	0.174093	0.179377	0.178738	0.173113
110	0.177117	0.175237	0.183835	0.171495	0.177158	0.181680	0.173938	0.173113	0.176850	0.180540
120	0.170238	0.178485	0.176585	0.174507	0.181694	0.174929	0.175727	0.173166	0.169898	0.176894
130	0.180258	0.177107	0.170510	0.177946	0.173147	0.168682	0.175253	0.174144	0.175854	0.182198
140	0.177212	0.174701	0.181358	0.175542	0.179700	0.173419	0.175213	0.174274	0.172890	0.177402
150	0.179643	0.179836	0.175473	0.174929	0.170372	0.179009	0.171897	0.174008	0.176981	0.179435
160	0.168949	0.178181	0.179310	0.169701	0.174649	0.172393	0.177217	0.182447	0.174022	0.177424
170	0.175729	0.177500	0.178746	0.177827	0.175061	0.178266	0.174882	0.180590	0.174240	0.179471
180	0.171101	0.173564	0.176677	0.174143	0.171300	0.181857	0.178575	0.170066	0.181801	0.169401
190	0.173528	0.181942	0.179460	0.170325	0.174618	0.176573	0.172606	0.175802	0.178150	0.177377
200	0.173288	0.179085	0.173116	0.179416	0.175661	0.175641	0.172570	0.177934	0.179448	0.172852
210	0.168379	0.171634	0.168838	0.174845	0.170142	0.176155	0.169986	0.176182	0.175333	0.179804
220	0.178431	0.176708	0.174169	0.173814	0.178066	0.177221	0.164908	0.175046	0.172702	0.164771
230	0.170572	0.170457	0.165651	0.176227	0.168964	0.173935	0.166563	0.172195	0.172190	0.160753
240	0.169980	0.162877	0.168275	0.170505	0.171579	0.180126	0.161993	0.174094	0.165641	0.156114
250	0.166368	0.162574	0.168237	0.173739	0.162915	0.172448	0.154217	0.178218	0.168976	0.152717
260	0.172240	0.158031	0.165953	0.165156	0.158321	0.171094	0.157089	0.173843	0.165967	0.147529
270	0.169424	0.151724	0.155590	0.166470	0.161076	0.173041	0.153548	0.165914	0.167991	0.148150
280	0.159045	0.147691	0.151930	0.172634	0.157051	0.166645	0.151702	0.169656	0.160136	0.143706
290	0.162033	0.151330	0.151550	0.163045	0.151929	0.166963	0.150771	0.165593	0.152934	0.139452
300	0.158554	0.146347	0.145479	0.157951	0.146349	0.169515	0.152001	0.161875	0.154393	0.139352
310	0.159900	0.144790	0.148501	0.159017	0.145749	0.163268	0.143830	0.162466	0.145208	0.135432
320	0.155771	0.134549	0.148548	0.163259	0.139181	0.159374	0.145757	0.163134	0.136850	0.135614
330	0.151698	0.142265	0.138754	0.158829	0.142961	0.160753	0.138746	0.152541	0.134871	0.130803
340	0.153994	0.132551	0.140353	0.158958	0.140676	0.154998	0.144284	0.156419	0.124391	0.130894
350	0.146650	0.139917	0.135575	0.151223	0.140225	0.150705	0.135663	0.153432	0.122617	0.131781
360	0.151611	0.130920	0.131215	0.151197	0.135663	0.150069	0.133927	0.152879	0.111942	0.127231
370	0.147961	0.131758	0.135950	0.149682	0.132477	0.155031	0.135876	0.152413	0.111916	0.128398
380	0.144417	0.132570	0.128896	0.150104	0.136273	0.147999	0.127336	0.152317	0.106395	0.128334
390	0.145168	0.131499	0.122233	0.148184	0.136091	0.147467	0.127187	0.147054	0.100012	0.131326
400	0.143637	0.130655	0.122545	0.146859	0.134213	0.138462	0.129112	0.140178	0.091864	0.127501
410	0.140696	0.124134	0.118290	0.142658	0.133265	0.136566	0.129449	0.146255	0.087409	0.126962
420	0.135632	0.126617	0.116706	0.146659	0.122770	0.135002	0.119906	0.142760	0.083741	0.126641
430	0.139160	0.121244	0.109498	0.142206	0.118840	0.133657	0.126170	0.138736	0.080124	0.121472
440	0.135067	0.124296	0.112959	0.143627	0.120928	0.125592	0.119506	0.134628	0.074301	0.119238
450	0.132987	0.118281	0.109961	0.140078	0.123013	0.124393	0.119410	0.132708	0.072658	0.118307
460	0.133195	0.115724	0.109651	0.136247	0.115978	0.126443	0.114862	0.129562	0.067608	0.122905
470	0.134556	0.117114	0.103812	0.134335	0.120727	0.116657	0.110782	0.128789	0.062814	0.121245
480	0.125805	0.115133	0.101150	0.124650	0.116686	0.115603	0.115244	0.122511	0.055926	0.116110
490	0.128142	0.115010	0.102826	0.133440	0.111447	0.110025	0.110952	0.118104	0.057444	0.112478
500	0.123579	0.104576	0.104354	0.130288	0.108789	0.110045	0.110025	0.115916	0.050148	0.110117
510	0.123915	0.109014	0.092524	0.127278	0.107858	0.104370	0.102723	0.115675	0.049902	0.109225
520	0.116826	0.104753	0.096002	0.124122	0.110978	0.105072	0.103938	0.113082	0.052042	0.108324
530	0.121520	0.107520	0.091307	0.116288	0.104075	0.105898	0.104365	0.108239	0.049512	0.103065
540	0.121825	0.100842	0.085037	0.112767	0.108515	0.103581	0.097011	0.102448	0.049468	0.109366
550	0.117798	0.095137	0.087240	0.110462	0.102930	0.099447	0.098926	0.099892	0.045361	0.113354
