T	p_1	p_2	p_3	p_4	p_5	p_6	p_7	p_8	p_9	p_10
10	0.174388	0.174524	0.177552	0.174595	0.176335	0.177387	0.178661	0.175482	0.181419	0.173986
20	0.178076	0.178080	0.180437	0.175985	0.182669	0.180066	0.173088	0.181039	0.182492	0.179933
30	0.177931	0.171714	0.176934	0.176169	0.175180	0.176971	0.180349	0.176084	0.172870	0.180664
40	0.173272	0.175983	0.180693	0.180555	0.173418	0.172230	0.173833	0.174712	0.176264	0.174627
50	0.174426	0.179267	0.180103	0.178437	0.184123	0.171750	0.175641	0.175390	0.174843	0.183067
60	0.177574	0.177162	0.171353	0.177480	0.180938	0.178512	0.174313	0.178660	0.184265	0.181258
70	0.180799	0.179976	0.171956	0.174739	0.180452	0.178785	0.177108	0.177060	0.177723	0.177236
80	0.173557	0.181851	0.175997	0.176386	0.176252	0.175706	0.176277	0.176629	0.176422	0.175706
90	0.173678	0.179780	0.173591	0.177624	0.172765	0.176274	0.173445	0.177201	0.180552	0.179172
100	0.171637	0.174921	0.172567	0.169795	0.176093	0.171985	0.178418	0.175344	0.176996	0.180689
110	0.173873	0.180756	0.172719	0.181371	0.171851	0.177810	0.172935	0.173983	0.176729	0.172383
120	0.177666	0.180531	0.177430	0.177401	0.173144	0.178263	0.176443	0.174290	0.182707	0.176590
130	0.172896	0.171108	0.178300	0.179972	0.174708	0.178102	0.182039	0.173811	0.184993	0.181895
140	0.176072	0.178995	0.179037	0.180995	0.168722	0.177049	0.180413	0.173852	0.172875	0.177610
150	0.172913	0.173402	0.175373	0.180113	0.174595	0.176854	0.173630	0.178424	0.179027	0.174984
160	0.169260	0.173431	0.165871	0.180846	0.174412	0.176321	0.173055	0.173566	0.165664	0.177467
170	0.177015	0.179925	0.172932	0.169707	0.178098	0.174303	0.177098	0.174999	0.169788	0.171607
180	0.172506	0.176296	0.174340	0.177061	0.172750	0.179606	0.178934	0.172523	0.180628	0.177994
190	0.171684	0.176554	0.177817	0.177038	0.173398	0.176273	0.179742	0.165781	0.174667	0.180451
200	0.172088	0.175801	0.174695	0.171447	0.176556	0.178437	0.178530	0.174900	0.172211	0.177685
210	0.176995	0.174796	0.182658	0.181432	0.174019	0.180783	0.178866	0.174710	0.176701	0.178632
220	0.172147	0.178820	0.173412	0.180072	0.170322	0.179089	0.184674	0.176056	0.170868	0.175191
230	0.169417	0.175100	0.176352	0.181047	0.167931	0.177377	0.185642	0.175633	0.171496	0.178222
240	0.169235	0.175328	0.175333	0.181972	0.174926	0.186212	0.182458	0.175159	0.176456	0.185195
250	0.173684	0.173564	0.175313	0.180260	0.171425	0.179641	0.186390	0.177819	0.173804	0.176822
260	0.171101	0.176639	0.178310	0.181318	0.178019	0.178327	0.179026	0.177306	0.173218	0.178044
270	0.164407	0.174401	0.171703	0.183128	0.171991	0.179033	0.180227	0.184990	0.166879	0.173669
280	0.172019	0.178065	0.177150	0.184606	0.177902	0.180271	0.185951	0.177062	0.171475	0.180904
290	0.167474	0.176094	0.179809	0.175506	0.176686	0.181962	0.189137	0.179246	0.173724	0.183051
300	0.171263	0.179950	0.183109	0.185137	0.175903	0.178789	0.180314	0.170744	0.173848	0.184748
310	0.167593	0.172955	0.174383	0.175032	0.173165	0.182272	0.175829	0.172952	0.175005	0.176671
