T	p_1	p_2	p_3	p_4	p_5	p_6	p_7	p_8	p_9	p_10
10	0.181431	0.176178	0.176506	0.175948	0.174648	0.173872	0.179059	0.184888	0.173058	0.183997
20	0.176271	0.177826	0.176952	0.178094	0.174705	0.176014	0.171529	0.179668	0.172449	0.182192
30	0.179047	0.177350	0.175533	0.173405	0.179681	0.176811	0.176983	0.177931	0.172327	0.178442
40	0.172696	0.175199	0.181585	0.171883	0.179445	0.177385	0.178379	0.176357	0.169774	0.174309
50	0.182967	0.176014	0.177715	0.178151	0.176828	0.179245	0.176126	0.179944	0.172714	0.177725
60	0.171272	0.176992	0.177553	0.176058	0.177074	0.177212	0.174352	0.178478	0.176782	0.174561
70	0.175985	0.175207	0.176983	0.174649	0.172859	0.177016	0.174018	0.176372	0.171468	0.175106
80	0.178745	0.179541	0.179964	0.178920	0.176705	0.180239	0.175480	0.176116	0.181236	0.175535
90	0.173780	0.173712	0.178198	0.176590	0.178520	0.178914	0.176953	0.172001	0.181756	0.180656
100	0.177304	0.181142	0.178142	0.177204	0.173405	0.174810	0.182245	0.177226	0.182762	0.181357
110	0.170481	0.178594	0.173986	0.178394	0.173670	0.174083	0.171618	0.178525	0.178226	0.186722
120	0.172075	0.176508	0.174899	0.175070	0.181834	0.174138	0.176277	0.171763	0.181650	0.181459
130	0.179727	0.177800	0.182047	0.174147	0.176836	0.179002	0.176213	0.171523	0.182145	0.181735
140	0.179826	0.172943	0.177921	0.174100	0.176372	0.176202	0.173780	0.174715	0.177658	0.186080
150	0.182923	0.177286	0.172682	0.180113	0.174288	0.180343	0.174495	0.178492	0.181795	0.180081
160	0.177000	0.175924	0.178137	0.177296	0.174508	0.176400	0.180267	0.176171	0.176324	0.180373
170	0.171908	0.176421	0.174993	0.174608	0.175772	0.174136	0.177929	0.179338	0.176669	0.179517
180	0.173828	0.166956	0.179876	0.179967	0.174461	0.172985	0.181858	0.174228	0.176951	0.183330
190	0.174650	0.174531	0.171997	0.180205	0.172679	0.178712	0.180517	0.169697	0.178485	0.187523
200	0.176154	0.172554	0.175116	0.179864	0.173556	0.174127	0.175849	0.174604	0.182322	0.179664
210	0.175687	0.172957	0.172191	0.178007	0.172916	0.174570	0.172143	0.173069	0.179408	0.183234
220	0.174805	0.174954	0.176673	0.181033	0.177717	0.179398	0.181206	0.174172	0.177888	0.176324
230	0.177610	0.176141	0.179053	0.177111	0.178139	0.174690	0.181548	0.169673	0.177603	0.180489
240	0.172402	0.173477	0.179979	0.174010	0.182792	0.174772	0.172696	0.168169	0.176891	0.178803
250	0.179440	0.171297	0.181205	0.180903	0.171139	0.176094	0.179099	0.172711	0.180067	0.180487
260	0.175482	0.177036	0.170761	0.178118	0.183947	0.173265	0.184856	0.170605	0.177345	0.181686
270	0.175183	0.176729	0.176406	0.176469	0.178274	0.177321	0.174552	0.171061	0.187360	0.187257
280	0.173197	0.171583	0.179321	0.182187	0.178871	0.175318	0.175444	0.176527	0.182433	0.180344
290	0.179283	0.164844	0.176939	0.175907	0.178063	0.172250	0.175513	0.175032	0.176496	0.180575
300	0.171595	0.172770	0.174300	0.177212	0.175141	0.177195	0.178941	0.170605	0.182942	0.178837
310	0.169686	0.171649	0.182991	0.172685	0.178679	0.170648	0.169165	0.171885	0.181448	0.181524
320	0.177471	0.173061	0.176098	0.183718	0.170516	0.171869	0.176673	0.176778	0.175191	0.177553
330	0.168604	0.175534	0.174730	0.167746	0.177254	0.169882	0.168479	0.175881	0.179978	0.183550
340	0.173056	0.174259	0.176410	0.173563	0.174878	0.173247	0.181764	0.186074	0.180659	0.179786
350	0.176966	0.175984	0.181578	0.173666	0.174059	0.170345	0.180462	0.177889	0.176929	0.178080
360	0.166603	0.175760	0.179618	0.173362	0.170028	0.173796	0.176763	0.171779	0.175753	0.178103
370	0.168019	0.166908	0.173384	0.178071	0.175475	0.172061	0.175256	0.178119	0.174140	0.189282
380	0.166757	0.167550	0.172756	0.185023	0.169400	0.175898	0.183264	0.175451	0.177232	0.182592
390	0.172569	0.173494	0.174704	0.172590	0.171802	0.172208	0.178954	0.182505	0.183813	0.176947
400	0.168919	0.167886	0.175259	0.182145	0.175453	0.171379	0.175714	0.181756	0.184490	0.188367
410	0.176721	0.172436	0.172471	0.174207	0.168812	0.176479	0.171496	0.182776	0.174928	0.184271
420	0.173428	0.170142	0.179813	0.175452	0.168590	0.172388	0.179089	0.186054	0.176010	0.182436
430	0.178585	0.170534	0.176469	0.175096	0.175456	0.173562	0.175511	0.173852	0.179454	0.185585
440	0.173901	0.172383	0.172912	0.175298	0.175266	0.171193	0.175742	0.184509	0.182742	0.180444
450	0.174528	0.175452	0.175498	0.172689	0.171229	0.173084	0.176381	0.169520	0.171437	0.180289
460	0.167732	0.175527	0.178271	0.171372	0.174263	0.165706	0.179791	0.175610	0.175287	0.180696
470	0.168881	0.165565	0.180111	0.172164	0.165896	0.169203	0.176980	0.181355	0.177099	0.184967
480	0.168300	0.161545	0.173011	0.171315	0.176674	0.169972	0.178283	0.179932	0.182033	0.180305
490	0.164210	0.173613	0.167850	0.168138	0.164906	0.174949	0.175943	0.179693	0.182433	0.183681
500	0.165317	0.168361	0.169142	0.170726	0.171436	0.170133	0.176571	0.182282	0.181738	0.180142
510	0.178391	0.170794	0.171944	0.169630	0.171709	0.168326	0.175755	0.182355	0.177772	0.179003
520	0.168270	0.168676	0.179986	0.173978	0.172963	0.172786	0.172268	0.179053	0.184774	0.176296
530	0.171842	0.164153	0.182040	0.174759	0.162509	0.175813	0.179064	0.175576	0.183727	0.174440
540	0.172645	0.174160	0.180863	0.168219	0.164810	0.169571	0.172773	0.173910	0.176010	0.175587
550	0.169435	0.170010	0.176216	0.171457	0.171954	0.168978	0.169488	0.177512	0.186813	0.178490
560	0.171472	0.160828	0.176663	0.167535	0.163194	0.173860	0.169334	0.180179	0.176613	0.177412
570	0.167033	0.170238	0.175491	0.171571	0.166248	0.170924	0.170830	0.174798	0.180375	0.179752
580	0.167144	0.171570	0.171383	0.172072	0.161910	0.169669	0.170173	0.176781	0.175373	0.174013
590	0.167748	0.165749	0.173246	0.172755	0.169908	0.173147	0.164414	0.180721	0.186847	0.170526
600	0.169028	0.164648	0.174512	0.168456	0.164943	0.178405	0.168597	0.169710	0.187387	0.175087
610	0.175253	0.171514	0.172109	0.170073	0.165699	0.170351	0.172006	0.178510	0.180255	0.167561
620	0.168678	0.167646	0.173136	0.175373	0.166486	0.170080	0.166291	0.173771	0.186248	0.173776
630	0.174286	0.167757	0.178115	0.168570	0.162255	0.170199	0.153939	0.175276	0.181482	0.173360
640	0.165457	0.165073	0.168192	0.169441	0.164170	0.170440	0.158818	0.176044	0.176074	0.170629
650	0.166030	0.171402	0.176221	0.169138	0.153519	0.172129	0.161245	0.173153	0.174149	0.169202
660	0.159868	0.170299	0.172263	0.163050	0.162817	0.174433	0.165742	0.170444	0.171803	0.169912
