T	p_1	p_2	p_3	p_4	p_5	p_6	p_7	p_8	p_9	p_10
10	0.176621	0.173011	0.181979	0.178725	0.177587	0.175254	0.177905	0.180264	0.169848	0.175180
20	0.172451	0.179826	0.175105	0.177757	0.174518	0.181318	0.170550	0.173504	0.174541	0.178453
30	0.176131	0.178763	0.179093	0.171806	0.179476	0.176569	0.177615	0.178011	0.174757	0.177553
40	0.170935	0.177000	0.183189	0.178109	0.175746	0.176288	0.176886	0.175109	0.176900	0.178277
50	0.172657	0.171785	0.178571	0.183227	0.170100	0.177549	0.177027	0.173809	0.175436	0.179553
60	0.179490	0.173066	0.177865	0.173911	0.168617	0.174382	0.181851	0.177483	0.178537	0.177094
70	0.182091	0.179139	0.177516	0.179540	0.170948	0.180364	0.172162	0.175199	0.175130	0.179274
80	0.181470	0.176599	0.169787	0.177964	0.176511	0.174823	0.180432	0.180017	0.177218	0.176705
90	0.171961	0.179966	0.178952	0.177917	0.178488	0.176387	0.173416	0.175866	0.171083	0.175435
100	0.174285	0.176269	0.173840	0.180436	0.179526	0.178637	0.179842	0.172739	0.179326	0.174348
110	0.177892	0.175239	0.177615	0.174418	0.178277	0.181645	0.179349	0.174409	0.177114	0.172030
120	0.173455	0.171875	0.175494	0.174131	0.177596	0.178734	0.176652	0.171732	0.174613	0.173377
130	0.171262	0.175780	0.174864	0.178741	0.171005	0.182977	0.182997	0.174814	0.173756	0.178817
140	0.174528	0.181789	0.177163	0.174973	0.177125	0.175130	0.181056	0.178571	0.173450	0.175569
150	0.179036	0.181725	0.178620	0.173549	0.171496	0.180843	0.173972	0.173180	0.174255	0.176771
160	0.174747	0.181151	0.175592	0.175865	0.177168	0.180263	0.177508	0.169629	0.175210	0.176736
170	0.180162	0.179649	0.179399	0.174887	0.176168	0.175587	0.170993	0.171979	0.171536	0.178226
180	0.175390	0.179550	0.181378	0.175249	0.174957	0.168972	0.176739	0.175091	0.181671	0.168405
190	0.179261	0.178736	0.176003	0.172439	0.175544	0.175841	0.173274	0.177571	0.178282	0.180181
200	0.170989	0.174492	0.176259	0.165604	0.182807	0.179757	0.172921	0.177217	0.174210	0.172272
210	0.174509	0.174096	0.176849	0.171767	0.174949	0.174273	0.174127	0.173949	0.175098	0.172061
220	0.175674	0.172076	0.174987	0.174425	0.178492	0.175162	0.177818	0.177075	0.171678	0.178870
230	0.184461	0.182299	0.175710	0.168196	0.174979	0.173324	0.166019	0.177579	0.174603	0.174245
240	0.175674	0.171964	0.176315	0.170153	0.180844	0.171010	0.169607	0.181542	0.169145	0.177126
250	0.170554	0.172013	0.169983	0.171368	0.183060	0.173901	0.171199	0.174783	0.171292	0.179090
260	0.172273	0.174997	0.171332	0.166120	0.179539	0.172896	0.171189	0.170653	0.169460	0.173252
270	0.172345	0.171665	0.175267	0.171577	0.176694	0.168545	0.169426	0.170350	0.170332	0.172363
280	0.176386	0.177474	0.181181	0.169211	0.177301	0.176237	0.174321	0.175251	0.169991	0.175764
290	0.172035	0.174916	0.168766	0.169998	0.175644	0.169980	0.170241	0.166121	0.163842	0.176273
300	0.167242	0.177368	0.174414	0.169007	0.177712	0.179755	0.168543	0.162994	0.162071	0.169606
310	0.174298	0.175445	0.173145	0.166272	0.169366	0.174426	0.169506	0.165895	0.170834	0.176097
320	0.170491	0.172040	0.174628	0.167276	0.175765	0.180033	0.173686	0.173955	0.164895	0.168368
330	0.173391	0.170837	0.168993	0.168211	0.170909	0.168625	0.166283	0.168092	0.164720	0.174490
340	0.172059	0.171114	0.168451	0.162463	0.169402	0.173133	0.165935	0.168972	0.158344	0.170544
350	0.170470	0.175712	0.177593	0.165152	0.170596	0.168590	0.175091	0.167246	0.163984	0.170211
360	0.166876	0.167343	0.172464	0.156678	0.183679	0.170590	0.174613	0.171308	0.161977	0.170105
370	0.164383	0.173197	0.168339	0.165636	0.176482	0.170481	0.167100	0.168404	0.160349	0.166810
380	0.163874	0.166577	0.171003	0.170863	0.174755	0.175083	0.162391	0.168189	0.155765	0.174044
390	0.171492	0.174076	0.168524	0.161344	0.176621	0.170239	0.169390	0.172840	0.160170	0.163236
400	0.166460	0.167530	0.162888	0.162600	0.171642	0.160442	0.165453	0.164418	0.154576	0.169523
