T	p_1	p_2	p_3	p_4	p_5	p_6	p_7	p_8	p_9	p_10
10	0.499718	0.499684	0.499768	0.499763	0.500151	0.500078	0.499774	0.500046	0.500377	0.499924
20	0.499484	0.500834	0.500154	0.499774	0.500144	0.500407	0.499678	0.500202	0.499802	0.500258
30	0.500022	0.500850	0.499285	0.500003	0.499946	0.500539	0.499410	0.500037	0.500098	0.500350
40	0.499663	0.500965	0.498996	0.500092	0.499677	0.500000	0.499608	0.499655	0.499591	0.500483
50	0.499397	0.501395	0.498287	0.500091	0.500019	0.499553	0.499274	0.499296	0.499787	0.500486
60	0.498860	0.501635	0.498315	0.499798	0.500637	0.499068	0.499153	0.499097	0.499145	0.500756
70	0.500229	0.501741	0.498275	0.500195	0.501062	0.498672	0.498905	0.498663	0.499253	0.500429
80	0.499788	0.501721	0.498028	0.500019	0.500672	0.499421	0.498393	0.500070	0.498361	0.500085
90	0.500790	0.501291	0.498521	0.499825	0.499820	0.499797	0.496308	0.498601	0.498481	0.501020
100	0.502324	0.501644	0.499359	0.499887	0.500678	0.499747	0.496602	0.497089	0.498588	0.499755
110	0.502499	0.501047	0.499191	0.500963	0.499872	0.499071	0.497472	0.497739	0.499250	0.498049
120	0.501498	0.501491	0.498473	0.501553	0.499287	0.500390	0.497493	0.497950	0.500773	0.497855
130	0.500689	0.502278	0.497538	0.501008	0.500027	0.500079	0.497744	0.498128	0.501814	0.498885
140	0.501595	0.502862	0.494936	0.500337	0.499707	0.500253	0.498516	0.498793	0.502041	0.499341
150	0.501358	0.503817	0.496372	0.500247	0.499028	0.500393	0.498166	0.497608	0.502817	0.499728
160	0.500621	0.504659	0.495335	0.500308	0.498978	0.500949	0.497431	0.496739	0.503111	0.500324
170	0.501655	0.505860	0.495639	0.500548	0.498794	0.499992	0.498797	0.496955	0.502589	0.500894
180	0.499774	0.504265	0.495821	0.499751	0.498147	0.500132	0.497717	0.497036	0.502426	0.501257
190	0.499846	0.505243	0.496277	0.499251	0.497319	0.500258	0.497210	0.496785	0.502795	0.499692
200	0.500635	0.505681	0.495778	0.498911	0.497981	0.500439	0.497571	0.498628	0.502650	0.499431
210	0.499827	0.504036	0.497361	0.499616	0.496598	0.500352	0.499024	0.499186	0.502262	0.499087
220	0.499910	0.504247	0.497378	0.501059	0.497202	0.499864	0.499636	0.500891	0.502150	0.498177
230	0.500569	0.503930	0.498874	0.499616	0.498884	0.500879	0.500816	0.500035	0.499866	0.497257
240	0.501646	0.504212	0.500381	0.498687	0.499223	0.501007	0.500930	0.500277	0.500507	0.499183
250	0.501421	0.502943	0.501270	0.498436	0.499640	0.501098	0.500286	0.499081	0.500479	0.498618
260	0.501005	0.502363	0.500948	0.497324	0.500323	0.502529	0.500048	0.498325	0.500563	0.499212
270	0.500461	0.501173	0.502442	0.497210	0.501511	0.503416	0.499385	0.499337	0.500196	0.498708
280	0.499992	0.502312	0.502261	0.496035	0.500597	0.503779	0.500641	0.498158	0.501220	0.497990
290	0.501462	0.502358	0.501592	0.495493	0.499374	0.503761	0.501605	0.499077	0.499815	0.499231
300	0.501389	0.501896	0.500349	0.495733	0.499119	0.505576	0.500949	0.498911	0.500534	0.500137
310	0.501748	0.501821	0.500380	0.494351	0.497976	0.507205	0.501039	0.500856	0.500846	0.501852
320	0.502215	0.502687	0.500774	0.494199	0.494211	0.506258	0.501746	0.501579	0.499465	0.501684
330	0.504182	0.502265	0.501964	0.494513	0.493904	0.508526	0.502281	0.502675	0.499299	0.502395
340	0.499641	0.501956	0.500448	0.494208	0.495614	0.508430	0.502154	0.502630	0.498199	0.502323
350	0.499845	0.502098	0.502890	0.494057	0.495566	0.506895	0.501028	0.502729	0.497932	0.503180
360	0.500331	0.501507	0.503212	0.493718	0.496189	0.506458	0.501030	0.500931	0.498212	0.505189
370	0.497994	0.502449	0.503173	0.492138	0.496271	0.506258	0.500157	0.500464	0.497650	0.503924
380	0.497123	0.502302	0.502953	0.492501	0.496280	0.506562	0.499065	0.498691	0.497921	0.504089
390	0.496492	0.501697	0.503164	0.492194	0.496867	0.507716	0.501634	0.497958	0.498163	0.504831
400	0.496788	0.501503	0.503676	0.490363	0.495612	0.505659	0.503302	0.496737	0.496338	0.505294
410	0.494264	0.501729	0.502785	0.491236	0.495356	0.505444	0.504455	0.497855	0.495387	0.504943
420	0.494836	0.502611	0.503312	0.491929	0.493258	0.504721	0.505224	0.496758	0.497668	0.504011
430	0.497766	0.502418	0.502564	0.491991	0.494236	0.505547	0.505696	0.495454	0.496236	0.504616
440	0.496794	0.504431	0.501977	0.496897	0.493725	0.505073	0.504977	0.494798	0.495680	0.503907
450	0.498757	0.505246	0.502707	0.499211	0.491883	0.505036	0.502000	0.496909	0.497220	0.504534
460	0.500017	0.506090	0.503626	0.498566	0.491574	0.504228	0.499600	0.496865	0.497094	0.505361
470	0.499648	0.504301	0.503696	0.500788	0.491099	0.502388	0.498220	0.497222	0.496898	0.505810
