T	p_1	p_2	p_3	p_4	p_5	p_6	p_7	p_8	p_9	p_10
10	0.000445	0.000089	0.000228	0.000357	0.000295	0.000151	0.000206	0.000539	0.000604	0.000381
20	0.001122	0.000173	0.000751	0.001135	0.000942	0.000325	0.001153	0.001274	0.001883	0.000939
30	0.001346	0.000456	0.001010	0.001527	0.001231	0.000447	0.002203	0.001636	0.002110	0.001447
40	0.001588	0.000720	0.001009	0.001443	0.001861	0.000696	0.003506	0.002567	0.003050	0.001704
50	0.001367	0.001786	0.000780	0.001459	0.002804	0.000898	0.003393	0.003565	0.003378	0.001887
60	0.002352	0.002313	0.000863	0.002005	0.002797	0.001781	0.004212	0.004429	0.004840	0.002138
70	0.002527	0.003435	0.001711	0.002461	0.003563	0.001970	0.004641	0.005525	0.005858	0.002763
80	0.003248	0.003106	0.002310	0.002790	0.004397	0.002306	0.006174	0.007071	0.006448	0.003436
90	0.003560	0.004039	0.003034	0.003443	0.004195	0.002563	0.005439	0.008346	0.006489	0.004543
100	0.002993	0.004718	0.004680	0.005023	0.004931	0.002711	0.005381	0.007689	0.009049	0.005439
110	0.003409	0.004229	0.004607	0.007388	0.004897	0.002975	0.005526	0.006758	0.009838	0.005389
120	0.003770	0.004375	0.005675	0.008342	0.004681	0.003594	0.005898	0.007887	0.010450	0.006630
130	0.004740	0.004318	0.006405	0.009721	0.004949	0.004290	0.006772	0.007757	0.011467	0.005882
140	0.003376	0.005248	0.006235	0.010083	0.005213	0.005186	0.008355	0.007750	0.012425	0.006482
150	0.004353	0.004704	0.006650	0.011787	0.006230	0.006252	0.007614	0.011041	0.012023	0.008376
160	0.005091	0.004801	0.007480	0.012740	0.005331	0.006393	0.008036	0.012177	0.013335	0.008027
170	0.006234	0.005793	0.007726	0.012563	0.004471	0.007976	0.008406	0.012136	0.012211	0.007251
180	0.007512	0.005706	0.007592	0.015344	0.003379	0.009441	0.009332	0.013425	0.013592	0.008484
190	0.007438	0.005823	0.008666	0.016005	0.003913	0.009097	0.010384	0.013772	0.017321	0.009709
200	0.008288	0.006374	0.010791	0.017699	0.004773	0.008906	0.012157	0.013975	0.017639	0.008976
210	0.008836	0.005628	0.011674	0.018499	0.004584	0.011186	0.012383	0.014059	0.019388	0.010785
220	0.009582	0.007418	0.012469	0.019272	0.004540	0.012225	0.015315	0.014722	0.021897	0.012690
230	0.010364	0.009402	0.014346	0.019815	0.005031	0.013577	0.015549	0.015827	0.024407	0.012844
240	0.010448	0.010939	0.014575	0.020985	0.004972	0.013304	0.016698	0.016689	0.025655	0.013702
250	0.010377	0.011118	0.012747	0.025986	0.006164	0.014110	0.016074	0.018354	0.029959	0.014801
260	0.011107	0.012525	0.015954	0.027685	0.006034	0.014926	0.019053	0.020861	0.034101	0.015319
270	0.013468	0.012043	0.016104	0.031997	0.008965	0.016149	0.024914	0.021205	0.036882	0.014519
280	0.016164	0.011678	0.017547	0.034100	0.009695	0.018460	0.025785	0.024037	0.043002	0.015683
