T	p_1	p_2	p_3	p_4	p_5	p_6	p_7	p_8	p_9	p_10
10	0.495308	0.500699	0.507388	0.492712	0.503494	0.492312	0.499700	0.497504	0.497903	0.498103
20	0.492113	0.504193	0.500100	0.498802	0.493710	0.495108	0.503295	0.494010	0.496306	0.508886
30	0.489417	0.499002	0.501997	0.499900	0.503994	0.508786	0.492212	0.496705	0.495308	0.504792
40	0.496306	0.495907	0.497404	0.506989	0.509485	0.494109	0.499601	0.500100	0.500100	0.496905
50	0.503494	0.492312	0.486322	0.498203	0.503694	0.499700	0.507987	0.498602	0.496506	0.491514
60	0.493510	0.497304	0.511082	0.497204	0.501298	0.504093	0.508087	0.493411	0.493510	0.502696
70	0.500200	0.491314	0.502296	0.505591	0.506190	0.497204	0.501597	0.502995	0.495507	0.490815
80	0.498003	0.494109	0.496905	0.497105	0.499301	0.498103	0.499002	0.495407	0.487220	0.494609
90	0.494708	0.507588	0.499401	0.503095	0.499301	0.500799	0.505791	0.490615	0.489018	0.487220
100	0.489617	0.486222	0.505391	0.506889	0.500000	0.489317	0.500100	0.488618	0.485723	0.490615
110	0.495108	0.487320	0.498203	0.499101	0.487520	0.498003	0.501198	0.498702	0.473942	0.488518
120	0.484724	0.488618	0.489617	0.502895	0.491613	0.487819	0.506290	0.493411	0.477736	0.488718
130	0.482628	0.489916	0.494509	0.488918	0.489916	0.496506	0.493710	0.480132	0.477935	0.476038
140	0.477037	0.490216	0.488618	0.500699	0.493311	0.487121	0.499101	0.486222	0.472444	0.468550
150	0.475839	0.483926	0.480431	0.492013	0.486222	0.481629	0.497204	0.472644	0.459665	0.462460
160	0.476138	0.481530	0.486122	0.490915	0.487121	0.471046	0.492312	0.484724	0.456669	0.440695
170	0.473842	0.468051	0.483427	0.492712	0.468251	0.463059	0.490815	0.464157	0.457668	0.437999
180	0.478634	0.471745	0.486422	0.492412	0.465156	0.469549	0.478834	0.460363	0.432907	0.417432
190	0.463558	0.475140	0.479732	0.496605	0.460363	0.460264	0.475739	0.459764	0.425919	0.406949
200	0.463758	0.474940	0.475339	0.484525	0.449381	0.451977	0.466054	0.453874	0.425120	0.393570
210	0.444089	0.451677	0.483726	0.485523	0.445487	0.448682	0.460264	0.457468	0.428315	0.380591
220	0.447284	0.448083	0.474441	0.487121	0.432508	0.439097	0.462061	0.438998	0.415435	0.361422
230	0.447584	0.439297	0.469050	0.489816	0.406749	0.433307	0.465755	0.439696	0.396765	0.350639
240	0.421226	0.431110	0.467452	0.481330	0.401358	0.442991	0.450679	0.424621	0.381589	0.326478
250	0.414836	0.408746	0.472244	0.475839	0.400359	0.431410	0.437800	0.428614	0.364816	0.310603
260	0.403454	0.421526	0.468950	0.469948	0.390076	0.421925	0.430212	0.429213	0.358327	0.281250
270	0.409245	0.403654	0.462859	0.471645	0.379792	0.397464	0.425819	0.409445	0.349141	0.267372
280	0.394469	0.398363	0.455371	0.472344	0.369309	0.405052	0.410044	0.404054	0.342552	0.251597
290	0.384884	0.389177	0.456969	0.473143	0.364317	0.402057	0.401957	0.408247	0.338059	0.242911
300	0.374101	0.387680	0.457967	0.457468	0.354633	0.384884	0.401657	0.394768	0.317991	0.231530
310	0.377496	0.371506	0.460962	0.473742	0.347644	0.385084	0.380292	0.387979	0.317592	0.225240
