T	p_1	p_2	p_3	p_4	p_5	p_6	p_7	p_8	p_9	p_10
10	0.000955	0.000134	0.000433	0.000907	0.000129	0.000618	0.000229	0.000234	0.000458	0.000001
20	0.001194	0.000461	0.000724	0.001965	0.001061	0.001888	0.000464	0.000402	0.000273	0.000395
30	0.002000	0.001134	0.000798	0.002166	0.001745	0.002756	0.001454	0.000515	0.001075	0.000794
40	0.001790	0.001416	0.001208	0.001885	0.002077	0.002010	0.002876	0.001259	0.001894	0.000938
50	0.001876	0.001682	0.001765	0.001717	0.003165	0.002518	0.004100	0.002779	0.002764	0.001014
60	0.002268	0.002081	0.001359	0.001669	0.002381	0.002808	0.003570	0.004106	0.002125	0.002073
70	0.004173	0.002852	0.000988	0.001814	0.001911	0.003174	0.002373	0.006590	0.003208	0.004074
80	0.004187	0.004092	0.001638	0.003710	0.001543	0.003316	0.004073	0.004827	0.004497	0.004637
90	0.005776	0.004504	0.003143	0.003288	0.001235	0.004597	0.005945	0.005871	0.005845	0.004606
100	0.006167	0.004766	0.004345	0.004589	0.001283	0.005392	0.006043	0.005896	0.008511	0.004674
110	0.006242	0.004255	0.004968	0.005379	0.001419	0.006842	0.005809	0.005092	0.008884	0.006853
120	0.005510	0.004899	0.005201	0.005807	0.000963	0.007632	0.006256	0.004339	0.010270	0.006585
130	0.003680	0.005409	0.004614	0.007382	0.001201	0.006926	0.006176	0.005504	0.010632	0.008630
140	0.003218	0.005762	0.004581	0.007395	0.001859	0.007637	0.007027	0.005666	0.011320	0.008602
150	0.003111	0.005493	0.004795	0.006765	0.002767	0.007386	0.008612	0.006817	0.011772	0.009649
160	0.003096	0.007198	0.005253	0.008175	0.002300	0.008621	0.007632	0.008810	0.012136	0.007692
170	0.004062	0.008165	0.004190	0.008358	0.002196	0.007512	0.010300	0.006921	0.011557	0.008336
180	0.004262	0.007679	0.006024	0.006348	0.001945	0.007652	0.011868	0.007880	0.009224	0.010050
