T	p_1	p_2	p_3	p_4	p_5	p_6	p_7	p_8	p_9	p_10
10	0.500345	0.500957	0.500266	0.500451	0.499238	0.499976	0.499613	0.500322	0.499996	0.500401
20	0.499750	0.500005	0.499587	0.500328	0.499126	0.500189	0.498557	0.499726	0.500596	0.501918
30	0.500634	0.499399	0.499587	0.500933	0.498519	0.500868	0.497281	0.499446	0.497972	0.500470
40	0.500553	0.499518	0.500099	0.502165	0.498664	0.500473	0.497862	0.500440	0.498626	0.500743
50	0.500906	0.499636	0.501062	0.503509	0.499122	0.500477	0.496523	0.498960	0.497141	0.499797
60	0.500455	0.498854	0.500654	0.501641	0.498059	0.500480	0.493717	0.499616	0.495984	0.500472
70	0.503526	0.499582	0.500618	0.501082	0.497628	0.501305	0.494532	0.497064	0.499881	0.500702
80	0.506723	0.498953	0.499463	0.502486	0.495158	0.500159	0.493829	0.496671	0.499751	0.499333
90	0.505252	0.496504	0.499429	0.501736	0.496720	0.498860	0.494797	0.494473	0.497948	0.499861
100	0.500939	0.497681	0.499769	0.502217	0.496461	0.497777	0.497038	0.494665	0.500401	0.498926
110	0.502880	0.497017	0.499390	0.502094	0.493476	0.498278	0.496933	0.494945	0.497651	0.498095
120	0.499230	0.497209	0.499741	0.500603	0.493425	0.498651	0.495093	0.490928	0.499794	0.494174
130	0.500335	0.499931	0.499568	0.498978	0.493506	0.498088	0.493917	0.490073	0.503827	0.493129
140	0.499875	0.499307	0.499529	0.498685	0.496222	0.498901	0.493805	0.486552	0.504859	0.492636
150	0.496798	0.496855	0.497468	0.496699	0.493895	0.497985	0.491459	0.484517	0.505378	0.489674
160	0.495747	0.497722	0.498167	0.497689	0.489155	0.499196	0.488986	0.486172	0.508855	0.489284
170	0.494625	0.493374	0.498043	0.497811	0.484750	0.498362	0.485598	0.484019	0.509891	0.491586
180	0.494668	0.488246	0.499631	0.495165	0.483910	0.499105	0.481895	0.481823	0.508212	0.490629
190	0.493545	0.488914	0.500030	0.496344	0.480357	0.498686	0.482443	0.480611	0.505988	0.487895
200	0.491420	0.490305	0.499752	0.498252	0.478136	0.498661	0.482484	0.479625	0.501943	0.491135
210	0.491173	0.489438	0.498146	0.496991	0.476546	0.498934	0.482886	0.478716	0.500084	0.490813
220	0.493479	0.487501	0.502599	0.496796	0.475948	0.498737	0.485107	0.476209	0.501838	0.491914
230	0.490767	0.483228	0.505492	0.495127	0.469161	0.494747	0.483597	0.468737	0.497123	0.489571
240	0.487809	0.484749	0.506345	0.494539	0.467748	0.493818	0.484503	0.464832	0.497505	0.485739
250	0.489155	0.485170	0.507789	0.493017	0.467096	0.494726	0.484049	0.455978	0.494627	0.483433
260	0.490864	0.483363	0.507786	0.494228	0.459610	0.492082	0.480438	0.459606	0.492121	0.485425
270	0.491271	0.482645	0.504997	0.496733	0.456383	0.492373	0.480852	0.454005	0.493838	0.483851
280	0.492552	0.482429	0.504239	0.496751	0.459190	0.492505	0.477360	0.446094	0.494710	0.486073
290	0.491732	0.483584	0.504938	0.497973	0.454269	0.491587	0.474093	0.457001	0.497768	0.490934
