T	p_1	p_2	p_3	p_4	p_5	p_6	p_7	p_8	p_9	p_10
10	0.000265	0.000000	0.000000	0.000667	0.001262	0.000000	0.000489	0.000000	0.000142	0.000232
20	0.000711	0.000077	0.000000	0.000827	0.000794	0.000163	0.001315	0.000221	0.000723	0.000882
30	0.001776	0.000856	0.000471	0.001757	0.000126	0.001102	0.001785	0.000421	0.001205	0.001481
40	0.000762	0.000479	0.001258	0.001944	0.000000	0.002551	0.001463	0.000246	0.000844	0.002202
50	0.001084	0.001202	0.001323	0.003722	0.000363	0.004170	0.000924	0.000905	0.001019	0.004057
60	0.000587	0.001184	0.002198	0.003516	0.000219	0.004810	0.001321	0.001369	0.001243	0.002521
70	0.000591	0.002327	0.003118	0.003791	0.000410	0.005410	0.001534	0.000805	0.001142	0.003183
80	0.000637	0.001556	0.002222	0.004822	0.000223	0.005371	0.002958	0.001024	0.003133	0.004030
90	0.000806	0.001865	0.004313	0.006203	0.000595	0.011621	0.002917	0.001302	0.003353	0.004927
100	0.000968	0.001313	0.005481	0.005954	0.002663	0.008729	0.003142	0.002074	0.003314	0.004587
110	0.000393	0.001133	0.003536	0.007915	0.003538	0.011225	0.004130	0.003737	0.002879	0.005244
120	0.001102	0.001845	0.004417	0.008099	0.002795	0.013844	0.004394	0.002599	0.003423	0.005579
130	0.001681	0.002323	0.005347	0.008651	0.004693	0.014676	0.002895	0.002297	0.002879	0.004692
140	0.002742	0.001942	0.005635	0.010767	0.003084	0.013722	0.003713	0.002628	0.004866	0.005092
150	0.003774	0.004300	0.005874	0.011686	0.005618	0.013978	0.003126	0.002060	0.006214	0.006724
160	0.004990	0.003414	0.006111	0.012287	0.006698	0.015341	0.004085	0.003050	0.005812	0.005300
170	0.006326	0.002879	0.006889	0.013020	0.007364	0.019111	0.004458	0.003207	0.006457	0.003717
180	0.006771	0.002283	0.007760	0.012376	0.007487	0.020708	0.003293	0.004342	0.004620	0.004272
190	0.007939	0.001734	0.010248	0.016095	0.008788	0.026330	0.002674	0.004347	0.005175	0.004189
200	0.005726	0.002757	0.011629	0.019696	0.009804	0.021346	0.003973	0.004685	0.005200	0.006470
210	0.005034	0.004479	0.013988	0.020221	0.010908	0.025758	0.004282	0.004243	0.003537	0.002863
220	0.005273	0.002238	0.011734	0.023969	0.011239	0.031742	0.005803	0.004217	0.003364	0.002701
230	0.006592	0.002238	0.015724	0.025897	0.016398	0.027647	0.005012	0.003965	0.004192	0.002011
240	0.005405	0.002755	0.017426	0.025478	0.015741	0.027372	0.006302	0.003883	0.001994	0.005898
250	0.005515	0.002622	0.016035	0.022872	0.014816	0.027945	0.007458	0.003195	0.002971	0.005080
260	0.006168	0.003098	0.016722	0.021233	0.018085	0.031670	0.007732	0.003472	0.004356	0.005179
270	0.008322	0.002158	0.015804	0.021119	0.022873	0.034193	0.006168	0.004299	0.003168	0.003293
280	0.007532	0.002783	0.016492	0.021084	0.024029	0.038064	0.005796	0.005119	0.003595	0.003716
290	0.007822	0.001518	0.017797	0.021808	0.023625	0.036562	0.004449	0.004270	0.003100	0.004154
300	0.012222	0.001358	0.019120	0.024172	0.022464	0.037620	0.004187	0.004583	0.006107	0.005786
310	0.012317	0.002220	0.022594	0.021138	0.026901	0.043557	0.004040	0.005282	0.007348	0.005131
320	0.015241	0.002866	0.021455	0.020088	0.032085	0.040080	0.004946	0.006521	0.009618	0.005249
330	0.015494	0.004727	0.022152	0.022158	0.033130	0.039453	0.005295	0.005212	0.010600	0.005991
340	0.017650	0.005724	0.018616	0.024621	0.034931	0.033708	0.006267	0.004002	0.011403	0.004782
350	0.020050	0.007508	0.016762	0.022430	0.029523	0.034420	0.008940	0.004708	0.016271	0.003109
360	0.015893	0.009186	0.019601	0.022071	0.036590	0.033479	0.008206	0.005381	0.014896	0.004420
370	0.015385	0.009506	0.021537	0.020527	0.040077	0.034012	0.005754	0.003534	0.011977	0.007789
380	0.017197	0.009751	0.019721	0.020976	0.039646	0.036389	0.004546	0.003497	0.013521	0.008290
390	0.015160	0.008482	0.020798	0.020426	0.040843	0.034736	0.006450	0.003469	0.014771	0.004290
400	0.017282	0.008632	0.022078	0.018333	0.044301	0.032394	0.007236	0.002651	0.017566	0.007710
410	0.021933	0.009488	0.021326	0.019290	0.040172	0.031264	0.005360	0.002455	0.021896	0.010313
420	0.019797	0.010434	0.019630	0.014550	0.038709	0.030909	0.007232	0.003400	0.027271	0.009285
430	0.022149	0.011923	0.023289	0.016680	0.039739	0.020507	0.007152	0.003173	0.038131	0.010056
440	0.021928	0.014906	0.025646	0.021110	0.038289	0.022745	0.006987	0.002873	0.051718	0.009308
450	0.022882	0.014161	0.027144	0.021891	0.037997	0.027298	0.008274	0.003893	0.059059	0.007621
460	0.026187	0.012672	0.023798	0.021598	0.036736	0.032181	0.011307	0.005898	0.057240	0.008587
470	0.026816	0.011364	0.026592	0.020621	0.032566	0.028587	0.012112	0.004050	0.056007	0.012848
480	0.026274	0.011127	0.027828	0.018778	0.037588	0.031246	0.015342	0.005019	0.053770	0.010387
