essentiality,grp_size,avg_q,asd_q,avg_s,asd_s,avg_porp,asd_porp
0.5,4,0.012301,0.03141,0,0,0.012286,0.061021
0.555556,4,0.020676,0.04001,0,0,0.020699,0.078842
0.611111,4,0.06823,0.062145,0,0,0.068233,0.136891
0.666667,4,0.165339,0.062643,0,0,0.165384,0.193434
0.722222,4,0.246569,0.058833,0,0,0.246496,0.22142
0.777778,4,0.31132,0.056381,0,0,0.311379,0.236591
0.833333,4,0.364555,0.052785,0,0,0.364444,0.244985
0.888889,4,0.416767,0.049225,0,0,0.416726,0.250227
0.944444,4,0.460779,0.046014,0,0,0.460702,0.252283
1,4,0.499535,0.043528,0,0,0.49942,0.252845
0.5,8,0.0169428,0.0361216,0,0,0.0169416,0.056428
0.555556,8,0.0405344,0.0524468,0,0,0.0405158,0.0847896
0.611111,8,0.1321434,0.0638576,0,0,0.1321566,0.133737
0.666667,8,0.212988,0.0615286,0,0,0.2129524,0.1557942
0.722222,8,0.283418,0.0563294,0,0,0.2833716,0.1678514
0.777778,8,0.3384136,0.053055,0,0,0.3383984,0.174506
0.833333,8,0.3857272,0.0501068,0,0,0.3856648,0.1784058
0.888889,8,0.430203,0.047232,0,0,0.4302824,0.1804816
0.944444,8,0.4650576,0.0460966,0,0,0.465079,0.1814568
1,8,0.4981082,0.0429746,0,0,0.498146,0.1812706
0.5,12,0.0198364,0.038617,0,0,0.0198538,0.0542366
0.555556,12,0.0573068,0.0558014,0,0,0.0573208,0.0853068
0.611111,12,0.1540984,0.062061,0,0,0.15414,0.1200434
0.666667,12,0.2291686,0.0603464,0,0,0.229124,0.134479
0.722222,12,0.2897326,0.0562938,0,0,0.2897384,0.141679
0.777778,12,0.3447798,0.0531858,0,0,0.3447896,0.1464022
0.833333,12,0.3908742,0.0497554,0,0,0.390908,0.148738
0.888889,12,0.431236,0.0474936,0,0,0.4312758,0.150045
0.944444,12,0.4685016,0.0445292,0,0,0.4685202,0.1502734
1,12,0.5012422,0.0427786,0,0,0.5012022,0.1500778
0.5,16,0.0211252,0.0389416,0,0,0.0211264,0.0516856
0.555556,16,0.0621902,0.0584852,0,0,0.0621712,0.0823742
0.611111,16,0.159296,0.061501,0,0,0.1592746,0.1091948
0.666667,16,0.2287038,0.0584348,0,0,0.2287708,0.1193666
0.722222,16,0.297023,0.0551716,0,0,0.2970682,0.1261858
0.777778,16,0.3496128,0.0525748,0,0,0.3496864,0.1297484
0.833333,16,0.3943964,0.0494956,0,0,0.3944128,0.1313748
0.888889,16,0.4330428,0.0464138,0,0,0.4330276,0.1319144
0.944444,16,0.4699426,0.04535,0,0,0.4699472,0.1323552
1,16,0.49687,0.0424096,0,0,0.4968418,0.131665
0.5,20,0.0216344,0.0395528,0,0,0.0216262,0.04996
0.555556,20,0.0715682,0.05908,0,0,0.0715824,0.0812062
0.611111,20,0.1629936,0.0609784,0,0,0.1630636,0.1018926
0.666667,20,0.2342408,0.0582006,0,0,0.2342456,0.1105518
0.722222,20,0.300363,0.0544482,0,0,0.300368,0.1155664
0.777778,20,0.347267,0.051833,0,0,0.3472272,0.118015
0.833333,20,0.3955128,0.048781,0,0,0.3955432,0.1193536
0.888889,20,0.4346862,0.0472926,0,0,0.4347016,0.120202
0.944444,20,0.4675846,0.045031,0,0,0.4676208,0.1200156
1,20,0.496982,0.0421712,0,0,0.4969816,0.1192104
0.5,24,0.0232184,0.0396528,0,0,0.0232128,0.048904
0.555556,24,0.077045,0.0601304,0,0,0.077052,0.0800032
0.611111,24,0.1715328,0.0593348,0,0,0.1715696,0.0966442
0.666667,24,0.239009,0.057736,0,0,0.239021,0.1039916
0.722222,24,0.2994914,0.0545938,0,0,0.2994754,0.1078966
0.777778,24,0.3492706,0.0514332,0,0,0.3493006,0.1097644
0.833333,24,0.3969204,0.048531,0,0,0.3969406,0.1107764
0.888889,24,0.4350344,0.0465118,0,0,0.4350272,0.111155
0.944444,24,0.4715742,0.044375,0,0,0.4715178,0.1109342
1,24,0.499465,0.041963,0,0,0.499472,0.1101604
0.5,28,0.025622,0.041976,0,0,0.025591,0.050453
0.555556,28,0.075877,0.057451,0,0,0.075909,0.07538
0.611111,28,0.174026,0.059566,0,0,0.174077,0.092911
0.666667,28,0.240645,0.05503,0,0,0.240627,0.097377
0.722222,28,0.300511,0.053251,0,0,0.300519,0.101416
0.777778,28,0.361124,0.048435,0,0,0.361253,0.10274
0.833333,28,0.400845,0.046957,0,0,0.400939,0.10368
0.888889,28,0.438157,0.045137,0,0,0.438188,0.103955
0.944444,28,0.473179,0.043855,0,0,0.473166,0.103853
1,28,0.500904,0.041102,0,0,0.500824,0.102956
0.5,32,0.0248886,0.0396414,0,0,0.0248904,0.0471718
0.555556,32,0.076238,0.0576676,0,0,0.076228,0.0733356
0.611111,32,0.1695716,0.0594938,0,0,0.1695384,0.088754
0.666667,32,0.244176,0.0561008,0,0,0.244188,0.0943084
0.722222,32,0.3027696,0.0541558,0,0,0.3027512,0.097548
0.777778,32,0.3524162,0.0506278,0,0,0.3524018,0.0984428
0.833333,32,0.3988424,0.049069,0,0,0.3988124,0.0994302
0.888889,32,0.4362436,0.0457954,0,0,0.4362046,0.0988218
0.944444,32,0.4672848,0.0439628,0,0,0.4672582,0.0985326
1,32,0.5001146,0.0412772,0,0,0.5001228,0.0975162
0.5,36,0.023539,0.0386134,0,0,0.0235308,0.0451368
0.555556,36,0.0813766,0.0580112,0,0,0.081394,0.0731238
0.611111,36,0.1703916,0.0575316,0,0,0.1704366,0.0849328
0.666667,36,0.2417724,0.0554054,0,0,0.2417128,0.0902376
0.722222,36,0.3036142,0.0527666,0,0,0.3036152,0.0930928
0.777778,36,0.3450238,0.0522888,0,0,0.3450604,0.094897
0.833333,36,0.3993462,0.0479074,0,0,0.3993686,0.0945882
0.888889,36,0.4362472,0.0457584,0,0,0.4362722,0.0944792
0.944444,36,0.4704664,0.0438068,0,0,0.4704702,0.0940814
1,36,0.4967218,0.0421264,0,0,0.4967726,0.0933472
0.5,40,0.0288314,0.0405068,0,0,0.0288338,0.047346
0.555556,40,0.081727,0.0566112,0,0,0.0817114,0.0706228
0.611111,40,0.1698416,0.057054,0,0,0.169856,0.0822616
0.666667,40,0.2463666,0.0551196,0,0,0.2462728,0.0876906
0.722222,40,0.3052688,0.0538202,0,0,0.3052512,0.0906234
0.777778,40,0.3568152,0.050243,0,0,0.3567814,0.0910732
0.833333,40,0.3934126,0.0467226,0,0,0.393394,0.0903768
0.888889,40,0.4304976,0.0443908,0,0,0.4305444,0.090068
0.944444,40,0.4665058,0.0428704,0,0,0.4665286,0.089828
1,40,0.501999,0.0413858,0,0,0.5020188,0.089318
