essentiality,grp_size,avg_q,asd_q,avg_s,asd_s,avg_porp,asd_porp
0.5,4,0.004394,0.0197956,0.0307872,0.059344,0.006203,0.0412316
0.555556,4,0.0047418,0.0205708,0.0304896,0.0592796,0.0066778,0.0427706
0.611111,4,0.005206,0.0215268,0.0307778,0.0595746,0.0073586,0.0448784
0.666667,4,0.0059648,0.0230244,0.0301886,0.0589296,0.0084562,0.0480626
0.722222,4,0.0075508,0.0258524,0.0293944,0.0583236,0.0107046,0.0539822
0.777778,4,0.0122636,0.0323584,0.0270402,0.055946,0.0175654,0.068665
0.833333,4,0.0332684,0.0521952,0.0483556,0.1031462,0.0569502,0.1156894
0.888889,4,0.0641412,0.0925396,0.3905814,0.4674396,0.154102,0.1255342
0.944444,4,0.089283,0.1018564,0.5571132,0.4797508,0.1967246,0.1063826
1,4,0.1068534,0.1031394,0.6817918,0.450001,0.2206288,0.0849358
0.5,8,0.0048126,0.0206336,0.0307126,0.05914,0.0070858,0.0359604
0.555556,8,0.0054404,0.0219122,0.0299598,0.0586118,0.0079166,0.0379102
0.611111,8,0.0064646,0.0238352,0.0291584,0.0573664,0.0094106,0.041174
0.666667,8,0.0086694,0.0276064,0.0279562,0.0566264,0.012393,0.0469254
0.722222,8,0.0157798,0.036525,0.0244536,0.052716,0.0217926,0.0609746
0.777778,8,0.0523938,0.057986,0.0133632,0.0374244,0.0678888,0.1000306
0.833333,8,0.0552598,0.0529394,0.370074,0.389596,0.1074692,0.083428
0.888889,8,0.0590102,0.0521264,0.6290916,0.4651708,0.1210222,0.0637672
0.944444,8,0.0788464,0.060034,0.7521294,0.3872122,0.1456162,0.0679664
1,8,0.0940612,0.0726644,0.9796422,0.0458908,0.1773934,0.066609
0.5,12,0.004949,0.0208062,0.0303338,0.0582814,0.007343,0.0338186
0.555556,12,0.0056372,0.0222216,0.0298434,0.0574452,0.0083458,0.0359192
0.611111,12,0.006984,0.0246734,0.0294016,0.0574032,0.0101716,0.0393958
0.666667,12,0.010394,0.02974,0.0269552,0.055464,0.0145454,0.0461774
0.722222,12,0.0234564,0.0431952,0.0206508,0.0484256,0.0307502,0.0641472
0.777778,12,0.0784024,0.063507,0.0081964,0.0288492,0.0956778,0.0998012
