essentiality,grp_size,avg_q,asd_q,avg_s,asd_s,avg_porp,asd_porp
0.5,4,0,0,0.0344944,0.0628222,0,0
0.555556,4,0,0,0.0341168,0.062088,0,0
0.611111,4,0,0,0.034491,0.0625528,0,0
0.666667,4,0,0,0.034543,0.0627058,0,0
0.722222,4,0,0,0.0344814,0.0626158,0,0
0.777778,4,0,0,0.0344546,0.0627798,0,0
0.833333,4,0.05,0,0.018778,0.0537536,0.0774704,0.1317976
0.888889,4,0.125,0,0.346966,0.4689618,0.208617,0.1455638
0.944444,4,0.191176,0,0.6172334,0.479039,0.255243,0.115714
1,4,0.25,0,0.993352,0.0238716,0.2503678,0.009186
0.5,8,0,0,0.0345258,0.0620268,0,0
0.555556,8,0,0,0.0344706,0.0620354,0,0
0.611111,8,0,0,0.0346572,0.0618632,0,0
0.666667,8,0,0,0.0349194,0.0626868,0,0
0.722222,8,0,0,0.0347876,0.062156,0,0
0.777778,8,0.071429,0,0.0047898,0.0199142,0.0894874,0.1048894
0.833333,8,0.14,0,0.109792,0.1566476,0.1570534,0.1208012
0.888889,8,0.2,0,0.2866814,0.4398594,0.2373296,0.1171874
0.944444,8,0.252941,0,0.6064024,0.4821832,0.263743,0.0846168
1,8,0.3,0,0.5358636,0.3689418,0.3529406,0.091206
0.5,12,0,0,0.0341886,0.0610194,0,0
0.555556,12,0,0,0.0341994,0.0611456,0,0
0.611111,12,0,0,0.034727,0.0614678,0,0
0.666667,12,0,0,0.035274,0.0624402,0,0
0.722222,12,0.024038,0,0.002906,0.0163298,0.039306,0.0676988
0.777778,12,0.098214,0,0.0038696,0.0196832,0.113598,0.09722
0.833333,12,0.1625,0,0.0644642,0.1327986,0.1794486,0.1082464
0.888889,12,0.21875,0,0.21528,0.3928196,0.2427764,0.103274
0.944444,12,0.268382,0,0.5566192,0.4890382,0.2659098,0.0733144
1,12,0.3125,0,0.4561776,0.4883586,0.335313,0.0861374
0.5,16,0,0,0.0340986,0.0597304,0,0
0.555556,16,0,0,0.0342382,0.0603472,0,0
0.611111,16,0,0,0.035,0.0613464,0,0
0.666667,16,0,0,0.0352166,0.0610594,0,0
0.722222,16,0.038462,0,0.002737,0.0169346,0.0526274,0.0682114
0.777778,16,0.11039,0,0.00394,0.0214564,0.1247564,0.0892736
0.833333,16,0.172727,0,0.0058392,0.026995,0.1880582,0.1015396
0.888889,16,0.227273,0,0.0094862,0.0358708,0.2442332,0.1087308
0.944444,16,0.275401,0,0.22952,0.3616876,0.2973142,0.0925496
1,16,0.318182,0,0.5307664,0.4886422,0.3217088,0.0660472
0.5,20,0,0,0.0344275,0.0589955,0,0
0.555556,20,0,0,0.034615,0.06006175,0,0
0.611111,20,0,0,0.03564025,0.06102275,0,0
0.666667,20,0,0,0.03834175,0.06295275,0,0
0.722222,20,0.046703,0,0.00288975,0.018279,0.06034525,0.06648075
0.777778,20,0.117347,0,0.0042525,0.023005,0.1311795,0.08300425
0.833333,20,0.178571,0,0.0065855,0.0298195,0.1931705,0.09272425
0.888889,20,0.232143,0,0.010866,0.03941825,0.248526,0.098231
0.944444,20,0.279412,0,0.05485425,0.12703,0.2976195,0.0977865
1,20,0.321429,0,0.27058325,0.385733,0.33993025,0.079771
0.5,24,0,0,0.03476,0.0596186,0,0
0.555556,24,0,0,0.0351702,0.0597472,0,0
0.611111,24,0,0,0.0350042,0.0597426,0,0
0.666667,24,0,0,0.0345522,0.0592376,0,0
0.722222,24,0.052036,0,0.0030824,0.0192926,0.0653778,0.0643626
0.777778,24,0.121849,0,0.0050252,0.025683,0.1357572,0.077973
0.833333,24,0.182353,0,0.0070984,0.030874,0.1968744,0.0860404
0.888889,24,0.235294,0,0.0107728,0.0385316,0.2510136,0.0904422
0.944444,24,0.282007,0,0.0290588,0.0718924,0.2983706,0.0917656
1,24,0.323529,0,0.1162318,0.1971444,0.3411578,0.0834084
0.5,28,0,0,0.035276,0.058516,0,0
0.555556,28,0,0,0.035209,0.0588,0,0
0.611111,28,0,0,0.037568,0.059226,0,0
0.666667,28,0,0,0.037396,0.061306,0,0
0.722222,28,0.055769,0,0.003515,0.020959,0.069762,0.062639
0.777778,28,0.125,0,0.005143,0.02594,0.138582,0.073751
0.833333,28,0.185,0,0.007451,0.031258,0.199202,0.080558
0.888889,28,0.2375,0,0.010807,0.037807,0.252434,0.084294
0.944444,28,0.283824,0,0.017964,0.052675,0.299797,0.08606
1,28,0.325,0,0.126668,0.205892,0.339232,0.076426
0.5,32,0,0,0.0367404,0.0607472,0,0
0.555556,32,0,0,0.039338,0.0623198,0,0
0.611111,32,0,0,0.0354478,0.058931,0,0
0.666667,32,0,0,0.0364338,0.05967,0,0
0.722222,32,0.058528,0,0.0039282,0.0224708,0.0713676,0.060347
0.777778,32,0.127329,0,0.0058788,0.0276612,0.1410154,0.0703916
0.833333,32,0.186957,0,0.0083382,0.033109,0.201393,0.0762156
0.888889,32,0.23913,0,0.0117422,0.0394754,0.254473,0.0793002
0.944444,32,0.285166,0,0.0180122,0.0503296,0.3011644,0.0807032
1,32,0.326087,0,0.036857,0.0751462,0.343967,0.0770532
0.5,36,0,0,0.0378046,0.0601586,0,0
0.555556,36,0,0,0.0350852,0.0577932,0,0
0.611111,36,0,0,0.0355538,0.0594542,0,0
0.666667,36,0,0,0.0358114,0.0590576,0,0
0.722222,36,0.060651,0,0.0045544,0.024448,0.073845,0.0586838
0.777778,36,0.129121,0,0.0062398,0.0281864,0.1428112,0.0674708
0.833333,36,0.188462,0,0.0086794,0.0336878,0.2027074,0.0725748
0.888889,36,0.240385,0,0.0125208,0.0402484,0.2556204,0.0751
0.944444,36,0.286199,0,0.0136378,0.041877,0.3013694,0.0773396
1,36,0.326923,0,0.0317912,0.0672862,0.3434744,0.0732308
0.5,40,0,0,0.0362862,0.0592168,0,0
0.555556,40,0,0,0.0373512,0.0587574,0,0
0.611111,40,0,0,0.035676,0.0583178,0,0
0.666667,40,0,0,0.0371328,0.0595918,0,0
0.722222,40,0.062334,0,0.0049516,0.0251544,0.075621,0.0571332
0.777778,40,0.130542,0,0.0066464,0.0288426,0.1444294,0.0649996
0.833333,40,0.189655,0,0.0083998,0.032089,0.2035746,0.069289
0.888889,40,0.241379,0,0.0132702,0.041207,0.2563986,0.0714488
0.944444,40,0.287018,0,0.0138462,0.0420252,0.3019264,0.0736276
1,40,0.327586,0,0.0323806,0.0665934,0.3442218,0.0691512
