essentiality,grp_size,avg_q,asd_q,avg_s,asd_s,avg_porp,asd_porp
0.5,4,0.0098158,0.0290182,0.0290452,0.0570922,0.0138118,0.06643
0.555556,4,0.0171568,0.0374898,0.0260516,0.0535708,0.0242888,0.086933
0.611111,4,0.0702942,0.0617468,0.117766,0.0470634,0.1044674,0.14258
0.666667,4,0.1665732,0.0891594,0.9591376,0.0596904,0.2552216,0.049667
0.722222,4,0.1695696,0.0903978,0.949575,0.068357,0.2594416,0.0543096
0.777778,4,0.1777364,0.0981862,0.9170476,0.0945418,0.2740078,0.0764908
0.833333,4,0.4719078,0.0933328,0.941751,0.0767382,0.4887716,0.0588288
0.888889,4,0.4878298,0.0882924,0.9561078,0.062407,0.4967922,0.0411868
0.944444,4,0.4939898,0.0878772,0.9615036,0.0570652,0.4988786,0.0358026
1,4,0.497111,0.0872618,0.9638308,0.0543528,0.4999376,0.033399
0.5,8,0.0127106,0.0325648,0.0262932,0.05369,0.0178838,0.0642672
0.555556,8,0.0362274,0.0506978,0.0186064,0.0449356,0.0477276,0.0984018
0.611111,8,0.1186352,0.0664228,0.0134638,0.0338218,0.1529842,0.1451442
0.666667,8,0.2035914,0.0665042,0.9201986,0.0965164,0.2540408,0.0605468
0.722222,8,0.2502248,0.0765986,0.867721,0.1278636,0.3011294,0.073446
0.777778,8,0.3433448,0.0607636,0.9259,0.0880374,0.370823,0.0530714
0.833333,8,0.362497,0.0590056,0.9268764,0.089047,0.3846846,0.0520798
0.888889,8,0.422254,0.0743626,0.8899418,0.1149066,0.43674,0.070062
0.944444,8,0.4882774,0.0557432,0.9382832,0.0786938,0.492049,0.0474046
1,8,0.4994706,0.0521074,0.948636,0.069745,0.4999774,0.041473
0.5,12,0.0142494,0.0339398,0.0267266,0.0526894,0.0198562,0.0633826
0.555556,12,0.0504682,0.056113,0.0144388,0.038793,0.0635902,0.1005936
0.611111,12,0.1386338,0.0654402,0.011289,0.03372,0.1693524,0.130671
0.666667,12,0.188901,0.0686388,0.7720418,0.1431452,0.2546186,0.06725
0.722222,12,0.2436202,0.0733948,0.6920642,0.1580204,0.3141652,0.069917
0.777778,12,0.3031164,0.0666548,0.7601724,0.1272514,0.3538262,0.0636226
0.833333,12,0.3901432,0.0572746,0.8828382,0.1168454,0.4070392,0.0544854
0.888889,12,0.4184458,0.0539772,0.8948026,0.1098606,0.4299068,0.0520254
0.944444,12,0.4742896,0.0540998,0.8910454,0.1083556,0.4782294,0.05314
1,12,0.4999784,0.047881,0.9239492,0.0882918,0.5000028,0.0450464
0.5,16,0.0154778,0.0348022,0.025012,0.0503966,0.0212054,0.0623668
0.555556,16,0.058807,0.0581396,0.0132244,0.0372772,0.0721096,0.0990756
0.611111,16,0.151894,0.0641664,0.0117778,0.0371786,0.1780486,0.1212648
0.666667,16,0.171717,0.0710312,0.3538342,0.1307138,0.2577176,0.0918816
0.722222,16,0.1593158,0.0802648,0.2536172,0.138272,0.3187366,0.084004
0.777778,16,0.181435,0.0902524,0.1713438,0.0972318,0.3554384,0.0843604
0.833333,16,0.3018736,0.0865842,0.3602208,0.1318752,0.3922546,0.0752484
0.888889,16,0.4141484,0.0613974,0.5996462,0.146791,0.4378632,0.0622096
0.944444,16,0.4651898,0.0526002,0.8233462,0.1294178,0.4703666,0.0528286
1,16,0.4998336,0.0475762,0.890144,0.10538,0.4997838,0.0470306
0.5,20,0.016388,0.0353452,0.0266454,0.0516816,0.0224184,0.0619488
0.555556,20,0.064281,0.0576004,0.0123118,0.0361098,0.077899,0.0964852
0.611111,20,0.1577212,0.0629776,0.0145024,0.0422686,0.182117,0.113698
0.666667,20,0.192973,0.0702508,0.1285326,0.0962812,0.261659,0.1026328
0.722222,20,0.1632712,0.0812402,0.1777208,0.1038852,0.3198724,0.083224
0.777778,20,0.188565,0.088585,0.13531,0.081142,0.3554684,0.0798106
0.833333,20,0.2711782,0.0939194,0.1419888,0.0890926,0.3894004,0.0790358
0.888889,20,0.3969106,0.0718358,0.254562,0.1248508,0.4370282,0.0710008
0.944444,20,0.4531264,0.0570046,0.5343328,0.1255156,0.464633,0.0595926
1,20,0.5003816,0.0496648,0.7674144,0.128034,0.5007132,0.0503386
0.5,24,0.0164028,0.035002,0.0255814,0.0494798,0.022355,0.0604376
0.555556,24,0.066692,0.0590362,0.0132634,0.0371026,0.0807538,0.0952382
0.611111,24,0.1571012,0.0626944,0.0156316,0.0433864,0.184377,0.1082924
0.666667,24,0.1753364,0.068548,0.1502162,0.091355,0.2641068,0.0919674
0.722222,24,0.1725172,0.0768798,0.150272,0.0922266,0.3174552,0.0803112
0.777778,24,0.1885068,0.0868808,0.1115522,0.0727552,0.3543282,0.077278
0.833333,24,0.2861732,0.0884422,0.1541076,0.089654,0.3916976,0.073554
0.888889,24,0.389744,0.0714362,0.1897834,0.1052922,0.4341304,0.0696398
0.944444,24,0.4430898,0.0625406,0.2738018,0.1166218,0.461858,0.065443
1,24,0.5008364,0.0534308,0.5967268,0.1332116,0.500276,0.0546008
0.5,28,0.018185,0.0355822,0.027128,0.0499908,0.024482,0.0608678
0.555556,28,0.0702476,0.058806,0.0151522,0.0394786,0.0849024,0.0936068
