essentiality,grp_size,avg_q,asd_q,avg_s,asd_s,avg_porp,asd_porp
0.5,4,0.0097962,0.0291182,0.028348,0.0560916,0.0136714,0.0661688
0.555556,4,0.0168714,0.0374058,0.026422,0.0538886,0.0238212,0.0862678
0.611111,4,0.080891,0.0647482,0.2115092,0.047906,0.1202246,0.132633
0.666667,4,0.1640758,0.089414,0.9593934,0.0597592,0.2550692,0.049724
0.722222,4,0.1685796,0.0901054,0.9499374,0.0683616,0.2592622,0.0540196
0.777778,4,0.1820676,0.0981626,0.9153386,0.0950628,0.274881,0.0774466
0.833333,4,0.4731766,0.0931096,0.9447398,0.0741286,0.4891556,0.0580168
0.888889,4,0.4857066,0.0881116,0.9550808,0.0631374,0.4966186,0.0416052
0.944444,4,0.4936084,0.088051,0.9610844,0.0570626,0.4988302,0.0359118
1,4,0.4978272,0.086526,0.963416,0.054639,0.4999878,0.0334516
0.5,8,0.0129124,0.0328184,0.0263494,0.0541626,0.0180962,0.064715
0.555556,8,0.036379,0.0505524,0.0188168,0.0452028,0.048469,0.099057
0.611111,8,0.118484,0.0660374,0.013661,0.0339632,0.153648,0.145065
0.666667,8,0.2046802,0.0661766,0.9179146,0.09613,0.2545012,0.0608386
0.722222,8,0.2520844,0.0783332,0.8868556,0.1181902,0.3001882,0.0728088
0.777778,8,0.3425002,0.0604706,0.9244218,0.0905252,0.3704696,0.053472
0.833333,8,0.3608148,0.0581448,0.923867,0.089942,0.3843836,0.0518438
0.888889,8,0.4245058,0.0727652,0.8925936,0.113465,0.4386224,0.0699256
0.944444,8,0.4895242,0.0566174,0.9388518,0.079451,0.4919136,0.0478838
1,8,0.4986724,0.0521376,0.9472606,0.0698088,0.4998516,0.0417204
0.5,12,0.0140154,0.033802,0.0263246,0.0527352,0.0194532,0.062694
0.555556,12,0.0475,0.0554492,0.015729,0.0405138,0.0609586,0.0995596
0.611111,12,0.1414868,0.0661766,0.0118142,0.0355698,0.171481,0.1309524
0.666667,12,0.2020826,0.0686256,0.833375,0.1325036,0.254418,0.0651766
0.722222,12,0.2396874,0.0736794,0.6729084,0.158993,0.3156802,0.0705862
