essentiality,grp_size,avg_q,asd_q,avg_s,asd_s,avg_porp,asd_porp
0.5,8,0.003839,0.0184794,0.032046,0.0608154,0.0048124,0.0243512
0.555556,8,0.0038302,0.018439,0.0317454,0.060634,0.0047848,0.0242838
0.611111,8,0.0038516,0.0184928,0.0316734,0.060493,0.004824,0.0243788
0.666667,8,0.003861,0.018521,0.0316424,0.0605102,0.0048284,0.0243934
0.722222,8,0.003845,0.0184802,0.031663,0.0604976,0.0048132,0.0243554
0.777778,8,0.0038514,0.0185044,0.0314566,0.0602036,0.004811,0.0243514
0.833333,8,0.0038478,0.0184918,0.0318196,0.0605178,0.004824,0.0243816
0.888889,8,0.0038484,0.0184836,0.0316222,0.0605144,0.0048112,0.0243488
0.944444,8,0.0038314,0.0184384,0.031608,0.0601806,0.004801,0.0243168
1,8,0.003772,0.017083,0.0393032,0.0515468,0.0049378,0.0235156
0.5,16,0.0038114,0.0184402,0.0316606,0.060079,0.005146,0.0188662
0.555556,16,0.003866,0.0185552,0.031604,0.0600038,0.0052208,0.0190116
0.611111,16,0.0039224,0.0187026,0.0312626,0.0600218,0.0053084,0.019159
0.666667,16,0.004033,0.0189264,0.0309154,0.059557,0.0054252,0.0193654
0.722222,16,0.0041694,0.0192588,0.0316626,0.060549,0.0056476,0.0197656
0.777778,16,0.004407,0.0197786,0.0306384,0.059257,0.005941,0.0202516
0.833333,16,0.00482375,0.02071775,0.031117,0.05968975,0.00651275,0.021207
0.888889,16,0.0059698,0.0229988,0.0304344,0.0592068,0.0080484,0.0235368
0.944444,16,0.0124636,0.0327452,0.0275376,0.0555068,0.0166972,0.0336252
1,16,0.0452262,0.0546456,0.0232528,0.046116,0.0616704,0.0618438
0.5,24,0.003701,0.0181206,0.0315682,0.0591938,0.0052248,0.0166412
0.555556,24,0.0037884,0.0183406,0.0311774,0.059124,0.005321,0.016781
0.611111,24,0.0038784,0.0185864,0.031116,0.0590594,0.0054628,0.0169972
0.666667,24,0.0040028,0.0188464,0.0312884,0.0599948,0.0056214,0.0172484
0.722222,24,0.0042622,0.0194452,0.0311978,0.0599782,0.005966,0.0177528
0.777778,24,0.004588,0.0201408,0.0305094,0.0590032,0.0064082,0.0183666
0.833333,24,0.0052498,0.0215364,0.0307118,0.058905,0.0073316,0.019638
0.888889,24,0.007264,0.0252296,0.0293322,0.0579038,0.010031,0.0228388
0.944444,24,0.0208172,0.0410226,0.0232442,0.0510682,0.027679,0.036956
1,24,0.0597544,0.0591562,0.0167288,0.0375812,0.078681,0.0583694
0.5,32,0.0036712,0.0179922,0.0318302,0.06035,0.0053042,0.0155984
0.555556,32,0.0037628,0.018188,0.0318876,0.0597634,0.0054516,0.0158152
0.611111,32,0.0037952,0.018328,0.031784,0.0596534,0.0055078,0.0159
0.666667,32,0.0039898,0.0187618,0.031476,0.0594966,0.0057466,0.0162236
0.722222,32,0.004233,0.019385,0.030277,0.058644,0.006031,0.016581
0.777778,32,0.004675,0.0202668,0.0306816,0.0592214,0.0066706,0.017404
0.833333,32,0.0054916,0.0219352,0.0304562,0.0591002,0.0077704,0.0187108
0.888889,32,0.00806,0.0264158,0.0281828,0.0564364,0.011191,0.022221
0.944444,32,0.026278,0.045311,0.0202738,0.047375,0.0342838,0.0371692
1,32,0.068141,0.0616346,0.0125598,0.0320516,0.0864516,0.0546214
0.5,40,0.0036082,0.0178032,0.032266,0.0603508,0.0053482,0.0150492
0.555556,40,0.0036936,0.0179784,0.0314296,0.0593496,0.0054272,0.0151076
0.611111,40,0.003771,0.0182366,0.0319654,0.0596876,0.0055578,0.0153254
0.666667,40,0.0040766,0.0188294,0.0307768,0.058728,0.0059058,0.0156804
0.722222,40,0.004263,0.0192682,0.0313756,0.0601284,0.0061974,0.0160832
0.777778,40,0.0047156,0.020268,0.0302506,0.0579908,0.0068014,0.0167876
0.833333,40,0.0055338,0.0219584,0.0298542,0.0572988,0.0079328,0.0180482
0.888889,40,0.0086622,0.0272854,0.0283658,0.0565808,0.0120658,0.021887
0.944444,40,0.0291676,0.0474918,0.019093,0.0453212,0.0379002,0.0365568
1,40,0.074507,0.063147,0.01053,0.02983,0.091598,0.051719
