essentiality,grp_size,avg_q,asd_q,avg_s,asd_s,avg_porp,asd_porp
0.5,8,0.0024054,0.0150118,0.0686596,0.0939334,0.0048948,0.024518
0.555556,8,0.0024326,0.0150886,0.067153,0.0928452,0.004898,0.0245248
0.611111,8,0.0023848,0.0149638,0.0691366,0.093509,0.0048984,0.0245234
0.666667,8,0.002413,0.015024,0.066934,0.091872,0.004896,0.024517
0.722222,8,0.0023824,0.0149606,0.0685532,0.0938526,0.004873,0.0244586
0.777778,8,0.002399,0.014988,0.068127,0.0929008,0.0048994,0.0245238
0.833333,8,0.0024386,0.0150968,0.0671734,0.0930724,0.0049074,0.024544
0.888889,8,0.00238,0.0149668,0.068099,0.0921776,0.0049084,0.0245442
0.944444,8,0.0024152,0.0150426,0.0674918,0.0921456,0.0049124,0.0245488
1,8,0.0023092,0.0136558,0.0748966,0.075996,0.005385,0.0249016
0.5,16,0.0024174,0.0149848,0.0668616,0.092128,0.0050848,0.0207
0.555556,16,0.0024632,0.0150568,0.0677106,0.093085,0.0051636,0.0208496
0.611111,16,0.0024514,0.0150828,0.0674108,0.0915054,0.0051936,0.0209266
0.666667,16,0.0025268,0.0152816,0.067603,0.0919866,0.0053148,0.0211458
0.722222,16,0.0026694,0.0157036,0.065626,0.0911064,0.0054542,0.021361
0.777778,16,0.0027742,0.0159722,0.0659756,0.0908286,0.0056356,0.021692
0.833333,16,0.003007,0.016672,0.0673844,0.0928078,0.0060186,0.0223606
0.888889,16,0.0037156,0.018558,0.0646686,0.0903592,0.007027,0.0239584
0.944444,16,0.0084384,0.0276944,0.0573966,0.0871932,0.0131932,0.0317072
1,16,0.0086278,0.0224934,0.2189548,0.3546614,0.0486126,0.0320998
0.5,24,0.0023882,0.014773,0.0685172,0.0921678,0.0051432,0.019379
0.555556,24,0.0024744,0.0150414,0.0663038,0.0901662,0.0052522,0.0195182
0.611111,24,0.002486,0.0151004,0.0684074,0.0922592,0.0053142,0.0196664
0.666667,24,0.0025688,0.015308,0.0672456,0.0909522,0.0054406,0.019848
0.722222,24,0.0026996,0.0156988,0.0692378,0.0935292,0.0056432,0.0201604
0.777778,24,0.0029598,0.0163984,0.0658764,0.0907014,0.0059486,0.020566
0.833333,24,0.0032836,0.0173162,0.067788,0.0929548,0.0065224,0.0214352
0.888889,24,0.0046996,0.0206416,0.063317,0.0905634,0.0082996,0.0235704
0.944444,24,0.0173638,0.0389598,0.047888,0.0821094,0.023182,0.0360206
1,24,0.021699,0.039207,0.2388946,0.38485,0.0489714,0.0320126
0.5,32,0.002406,0.0147646,0.0693972,0.0921218,0.0052112,0.0186816
0.555556,32,0.0024216,0.014818,0.0688246,0.0915672,0.0052436,0.0187404
0.611111,32,0.0025184,0.0150852,0.068248,0.0910116,0.0053694,0.0188878
0.666667,32,0.0026184,0.0153956,0.0662028,0.0902986,0.0055082,0.0190686
0.722222,32,0.0026632,0.0155728,0.0700062,0.0926484,0.0056786,0.0194082
0.777778,32,0.0030008,0.0164154,0.0674372,0.0909912,0.006088,0.0198516
0.833333,32,0.0035924,0.0178888,0.0628168,0.087354,0.006826,0.020703
0.888889,32,0.0051056,0.0214484,0.0636378,0.0893226,0.0089244,0.0231032
0.944444,32,0.0232114,0.0450046,0.0405654,0.074724,0.0294364,0.0367524
1,32,0.0265174,0.0429692,0.2417686,0.3598214,0.0555544,0.0326818
0.5,40,0.0024138,0.0147028,0.0688024,0.0907166,0.005206,0.0180796
0.555556,40,0.002483,0.0148554,0.0676964,0.0896846,0.0053034,0.0181924
0.611111,40,0.0025562,0.0151036,0.0652412,0.0878078,0.0053816,0.0182788
0.666667,40,0.002545,0.0150858,0.072832,0.0927992,0.0055672,0.0187132
0.722222,40,0.0027122,0.0155246,0.0720468,0.0942732,0.0057856,0.0189634
0.777778,40,0.0028978,0.0161312,0.0704226,0.0911166,0.0060706,0.0193528
0.833333,40,0.0035258,0.0177096,0.0686908,0.0916178,0.0069542,0.0203648
0.888889,40,0.0055412,0.022187,0.0658894,0.0894446,0.0095572,0.0229378
0.944444,40,0.0269818,0.047615,0.0361782,0.0694368,0.0333448,0.0363528
1,40,0.025484,0.0416716,0.2531704,0.339212,0.0559576,0.0299358
