essentiality,grp_size,avg_q,asd_q,avg_s,asd_s,avg_porp,asd_porp
0.5,4,0.012301,0,0.0059876,0.0231876,0.0252022,0.0823616
0.555556,4,0.020676,0,0.0102086,0.0297042,0.0422404,0.1047932
0.611111,4,0.06823,0,0.0251894,0.0447788,0.114817,0.1598508
0.666667,4,0.165339,0,0.9494974,0.066185,0.2569502,0.0409632
0.722222,4,0.246569,0,0.9332438,0.0787782,0.2602926,0.0496782
0.777778,4,0.31132,0,0.8604572,0.1155536,0.2778244,0.0797134
0.833333,4,0.364555,0,0.8771722,0.1090634,0.488016,0.0566742
0.888889,4,0.416767,0,0.92785,0.0804234,0.4943852,0.0386222
0.944444,4,0.460779,0,0.9460544,0.0674594,0.4963346,0.031089
1,4,0.499535,0,0.9561792,0.0591504,0.4973206,0.0265318
0.5,8,0.016943,0,0.0041268,0.0198102,0.0311322,0.0760484
0.555556,8,0.040534,0,0.0071228,0.0250722,0.0645508,0.1012444
0.611111,8,0.132143,0,0.2424014,0.0622702,0.167946,0.1169838
0.666667,8,0.212988,0,0.911283,0.105396,0.2658872,0.0418012
0.722222,8,0.283418,0,0.7468694,0.1523298,0.3185644,0.0711994
0.777778,8,0.338414,0,0.905752,0.1004314,0.3827176,0.031766
0.833333,8,0.385727,0,0.8243806,0.1363866,0.3904782,0.0449298
0.888889,8,0.430203,0,0.6028352,0.1574752,0.4652262,0.0688492
0.944444,8,0.465058,0,0.8669148,0.1228076,0.4883522,0.0392006
1,8,0.498108,0,0.9328032,0.080705,0.4947618,0.0262574
0.5,12,0.019836,0,0.0037022,0.0196096,0.0339766,0.0729874
0.555556,12,0.057307,0,0.006079,0.0250404,0.0786296,0.095794
0.611111,12,0.154098,0,0.011803,0.0390598,0.176739,0.118879
0.666667,12,0.229169,0,0.7140304,0.1596564,0.2906024,0.048896
0.722222,12,0.289733,0,0.725265,0.1635448,0.3449354,0.0422526
0.777778,12,0.34478,0,0.7543334,0.1529024,0.3762282,0.0488432
0.833333,12,0.390874,0,0.5886272,0.164132,0.419471,0.0510378
0.888889,12,0.431236,0,0.5530056,0.1821994,0.4502228,0.0568542
0.944444,12,0.468502,0,0.5833382,0.1687664,0.4730486,0.0534942
1,12,0.501242,0,0.8749172,0.1172842,0.5091982,0.0295302
0.5,16,0.021125,0,0.0036788,0.020005,0.034962,0.0705016
0.555556,16,0.06219,0,0.0063918,0.027065,0.0829558,0.090338
0.611111,16,0.159296,0,0.015601,0.0468808,0.1817264,0.1068654
0.666667,16,0.228704,0,0.6243826,0.1605292,0.2879328,0.046415
0.722222,16,0.297023,0,0.6139318,0.1522784,0.3429074,0.0434776
0.777778,16,0.349613,0,0.5743622,0.1459194,0.3923986,0.044962
0.833333,16,0.394396,0,0.4085516,0.147259,0.4224664,0.0540194
0.888889,16,0.433043,0,0.3950526,0.152469,0.456759,0.0547314
0.944444,16,0.469943,0,0.3963076,0.1484262,0.4691688,0.0545978
1,16,0.49687,0,0.6500834,0.1548722,0.4813396,0.0400066
0.5,20,0.021634,0,0.004215,0.022025,0.036371,0.069072
0.555556,20,0.071568,0,0.007433,0.029769,0.091866,0.087283
0.611111,20,0.162994,0,0.016431,0.046383,0.185788,0.098357
0.666667,20,0.234241,0,0.458706,0.160125,0.299712,0.049688
0.722222,20,0.300363,0,0.526744,0.153712,0.352138,0.043429
0.777778,20,0.347267,0,0.532026,0.147394,0.388144,0.042285
0.833333,20,0.395513,0,0.316799,0.141173,0.424943,0.05196
0.888889,20,0.434686,0,0.335056,0.140444,0.457076,0.050662
0.944444,20,0.467585,0,0.379536,0.145144,0.47092,0.048194
1,20,0.496982,0,0.519547,0.152428,0.479484,0.040945
0.5,24,0.023218,0,0.0046204,0.0231198,0.0376776,0.0679538
0.555556,24,0.077045,0,0.0090024,0.0333854,0.0963484,0.0827502
0.611111,24,0.171533,0,0.0181036,0.0476356,0.1935318,0.0926106
0.666667,24,0.239009,0,0.334004,0.1324224,0.2952292,0.0565568
0.722222,24,0.299491,0,0.4172178,0.1440812,0.3496222,0.0437154
0.777778,24,0.349271,0,0.4454456,0.1317782,0.3904574,0.041249
0.833333,24,0.39692,0,0.309151,0.1275458,0.4234164,0.047188
0.888889,24,0.435034,0,0.2961536,0.1274536,0.4556138,0.0481698
0.944444,24,0.471574,0,0.2875232,0.1184548,0.4711836,0.047659
1,24,0.499465,0,0.3990194,0.1411862,0.4775298,0.0418136
0.5,28,0.025622,0,0.004794,0.0232838,0.0398762,0.0661014
0.555556,28,0.075877,0,0.0124198,0.0394562,0.0971392,0.0803132
0.611111,28,0.174026,0,0.0207914,0.0506626,0.1959262,0.0869606
0.666667,28,0.240645,0,0.1701096,0.1078348,0.2863838,0.0690422
0.722222,28,0.300511,0,0.3636846,0.1383328,0.3550872,0.0437392
0.777778,28,0.361124,0,0.374064,0.11685,0.3979482,0.0392918
0.833333,28,0.400845,0,0.3200194,0.1292798,0.4368992,0.0436944
0.888889,28,0.438157,0,0.2725346,0.125136,0.4564384,0.0453092
0.944444,28,0.473179,0,0.281262,0.122188,0.4729564,0.044191
1,28,0.500904,0,0.3560318,0.1217444,0.5218032,0.0399174
0.5,32,0.024889,0,0.0057532,0.0255022,0.0399694,0.0654752
0.555556,32,0.076238,0,0.017988,0.0441092,0.0985356,0.076732
0.611111,32,0.169572,0,0.0480092,0.060617,0.1969064,0.0809074
0.666667,32,0.244176,0,0.2928552,0.1206698,0.2933672,0.0508246
0.722222,32,0.30277,0,0.3176006,0.1215988,0.3456138,0.0488498
0.777778,32,0.352416,0,0.376002,0.1248928,0.389753,0.0384414
0.833333,32,0.398842,0,0.2708492,0.1149148,0.4226572,0.0415492
0.888889,32,0.436244,0,0.229279,0.112018,0.4549296,0.0443552
0.944444,32,0.467285,0,0.2591964,0.1157004,0.4718368,0.042519
1,32,0.500115,0,0.351093,0.1242834,0.5198706,0.0374184
0.5,36,0.023539,0,0.0069062,0.0280002,0.0395134,0.0648378
0.555556,36,0.081377,0,0.16009,0.0660708,0.1206152,0.0617728
0.611111,36,0.170392,0,0.0331216,0.0597362,0.1970192,0.0794812
0.666667,36,0.241772,0,0.2496418,0.1139722,0.2913162,0.0518334
0.722222,36,0.303614,0,0.2542174,0.1122152,0.3487284,0.0483302
0.777778,36,0.345024,0,0.3815308,0.1306434,0.3837774,0.037193
0.833333,36,0.399346,0,0.2310048,0.113089,0.42304,0.0412794
0.888889,36,0.436247,0,0.277377,0.1111876,0.453064,0.0388118
0.944444,36,0.470466,0,0.2299216,0.1096906,0.471981,0.0410566
1,36,0.496722,0,0.336529,0.1146084,0.4810226,0.0347204
0.5,40,0.028831,0,0.0073704,0.0275808,0.0442876,0.0629314
0.555556,40,0.081727,0,0.0305032,0.0522894,0.1067274,0.071803
0.611111,40,0.169842,0,0.0686754,0.0658718,0.2012812,0.0724334
0.666667,40,0.246367,0,0.3032668,0.1082456,0.2956394,0.0411624
0.722222,40,0.305269,0,0.3413646,0.1204944,0.3451518,0.0397882
0.777778,40,0.356815,0,0.3347518,0.1132328,0.3876566,0.0383392
0.833333,40,0.393413,0,0.2453546,0.1123558,0.4210146,0.0384566
0.888889,40,0.430498,0,0.2642372,0.1126306,0.4515918,0.0377002
0.944444,40,0.466506,0,0.2641628,0.106988,0.4706266,0.0368352
1,40,0.501999,0,0.2537004,0.1058188,0.5206974,0.0370064
